Analytic	Finite_differences	Diff	Abs_diff	Norm_diff
-3.9074997822762594	-3.9074998539945227	7.171826332807996e-08	7.171826332807996e-08	1.8354003153981363e-08
4.200318917782302	4.200318962830352	-4.504804973493037e-08	4.504804973493037e-08	1.0724911754728136e-08
-0.4149945372211882	-0.4149945561948698	1.8973681625844563e-08	1.8973681625844563e-08	4.572031659234051e-08
9.2653678670708	9.265367762054666	1.0501613445512703e-07	1.0501613445512703e-07	1.1334264970563695e-08
-5.262523572218276	-5.26252349573042	-7.648785604885688e-08	7.648785604885688e-08	1.4534444359099653e-08
0.04100607680526745	0.04100607839063741	-1.5853699603107785e-09	1.5853699603107785e-09	3.8661829753660536e-08
-6.06363453231965	-6.0636342050202074	-3.2729944265952327e-07	3.2729944265952327e-07	5.397743563121943e-08
4.2017836573728955	4.201783299322415	3.5805048081982704e-07	3.5805048081982704e-07	8.521392580304645e-08
0.044972817247664734	0.044972821342526004	-4.094861269510197e-09	4.094861269510197e-09	9.105191802772435e-08
-3.6868468213428027	-3.6868469260298298	1.046870270471345e-07	1.046870270471345e-07	2.8394731899657818e-08
-0.11489826243940601	-0.11489826647448353	4.035077522113184e-09	4.035077522113184e-09	3.511869924265536e-08
-1.1844279481852535	-1.184428028864204	8.06789504093075e-08	8.06789504093075e-08	6.811638524143362e-08
2.065857803199013	2.0658578068832867	-3.6842737749509524e-09	3.6842737749509524e-09	1.7834111182511193e-09
2.0491066645737095	2.0491066607064568	3.8672527402638934e-09	3.8672527402638934e-09	1.8872871808595803e-09
-2.5783768975735937	-2.5783768978726584	2.9906477294616707e-10	2.9906477294616707e-10	1.1598954878458803e-10
-0.03151122518797132	-0.031511226552538574	1.3645672508610929e-09	1.3645672508610929e-09	4.3304163602689264e-08
-0.47803839894960737	-0.47803840516280616	6.213198788795893e-09	6.213198788795893e-09	1.299727972156241e-08
7.842543402348592	7.842543554943404	-1.5259481234153327e-07	1.5259481234153327e-07	1.9457311807268542e-08
-0.09699557223935482	-0.09699558177089784	9.531543027074818e-09	9.531543027074818e-09	9.826781580868396e-08
-6.44292695260682	-6.442927074203908	1.215970879542283e-07	1.215970879542283e-07	1.8872957717614647e-08
-1.2588384968058246	-1.2588384788614349	-1.794438975188939e-08	1.794438975188939e-08	1.4254719566824071e-08
1.7822123436769017	1.782212384568993	-4.089209126867388e-08	4.089209126867388e-08	2.2944567415748542e-08
0.6347703774475263	0.6347703765641199	8.834063480733789e-10	8.834063480733789e-10	1.391694350365942e-09
-0.7646196858138489	-0.7646196900168434	4.20299450798467e-09	4.20299450798467e-09	5.496843183563958e-09
-2.4741450811711543	-2.474145135238359	5.4067204935392965e-08	5.4067204935392965e-08	2.1852883788771136e-08
-1.6391768702106493	-1.639176925891661	5.56810118013118e-08	5.56810118013118e-08	3.396888573357937e-08
3.377257592095826	3.377257671672851	-7.957702496952379e-08	7.957702496952379e-08	2.35626163535073e-08
-0.39184413110782124	-0.3918441279893159	-3.1185053428472997e-09	3.1185053428472997e-09	7.958535282972506e-09
1.3887392736920072	1.3887392833566992	-9.664691935640235e-09	9.664691935640235e-09	6.959327872932078e-09
-0.2753796547769686	-0.27537964797375025	-6.803218322026794e-09	6.803218322026794e-09	2.4704869092586944e-08
0.22875849903796103	0.22875849936099257	-3.2303154595680894e-10	3.2303154595680894e-10	1.4121072979378304e-09
-0.4140306766839068	-0.41403066916245734	-7.521449463254726e-09	7.521449463254726e-09	1.81664062274231e-08
-6.4187259327057715	-6.418726056836022	1.2413025007873557e-07	1.2413025007873557e-07	1.9338767752373763e-08
0.7761688543262452	0.7761688448226778	9.503567377500133e-09	9.503567377500133e-09	1.2244200890732368e-08
-3.3160260001169197	-3.316026063657773	6.354085346771399e-08	6.354085346771399e-08	1.9161747665872825e-08
0.5768515191948699	0.5768515256932005	-6.498330651361073e-09	6.498330651361073e-09	1.1265170386360429e-08
5.896492493976184	5.896492602914805	-1.0893862079086603e-07	1.0893862079086603e-07	1.8475156358149692e-08
0.09091108064753134	0.09091107131098397	9.336547368565817e-09	9.336547368565817e-09	1.026997732516707e-07
