      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0   -31397.4946644919   -31397.4946644919        0.0000000000   -31396.4231833352        0.0000000000      0.00000000
reaction occured at step 0 between IDs 1 and 2
         1   -31399.9932059056   -31395.4993571429       32.1906731311   -31399.7197023091        4.4938487627      0.26779829
         2   -31407.8808111018   -31393.6153330832      102.1875377223   -31407.8799793016       14.2654780186      0.48023072
         3   -31416.5570892288   -31391.3331948396      180.6856844219   -31416.5570892288       25.2238943892      1.07483736
         4   -31425.5922551956   -31389.6923156010      257.1611288988   -31425.5922551956       35.8999395946      1.08618386
         5   -31438.2504838545   -31388.2161620672      358.4095912081   -31438.2504838545       50.0343217873      1.17634336
         6   -31454.6489524999   -31386.9730122841      484.7813501000   -31454.6489524999       67.6759402158      1.15430367
         7   -31470.0885763409   -31386.9250008429      595.7235360234   -31470.0884696884       83.1635754980      0.49082897
         8   -31481.2725783046   -31386.6276023795      677.9679611814   -31480.8328201166       94.6449759251      1.05637040
reaction occured at step 8 between IDs 1 and 13
         9   -31491.8406321719   -31385.9404946689      758.5917753154   -31491.8387514088      105.9001375029      0.30638394
        10   -31500.8376855547   -31384.6486625386      832.2938885661   -31500.8376855525      116.1890230162      0.49368617
        11   -31507.0283293072   -31384.1851593062      879.9593712885   -31507.0283293072      122.8431700010      1.02033952
        12   -31511.3283294268   -31382.7888215314      920.7638043896   -31511.3283294268      128.5395078954      1.11851559
        13   -31513.9599635729   -31382.5187362994      941.5496173863   -31513.9599635729      131.4412272735      0.89650260
        14   -31514.3001433331   -31381.5180907031      951.1543177343   -31514.3001433331      132.7820526299      1.10819266
        15   -31512.5841026055   -31379.7195139747      951.7455457811   -31512.5841026055      132.8645886308      1.16493463
        16   -31510.1251536521   -31379.0191469494      939.1483403540   -31510.1251536521      131.1060067027      1.14919362
        17   -31507.7624346302   -31378.1868366184      928.1856025031   -31507.7624346302      129.5755980118      1.12562741
        18   -31505.1557846302   -31378.1038839522      910.1076652503   -31505.1557846302      127.0519006779      1.13205525
        19   -31502.1141552790   -31376.2950662443      901.2766968012   -31502.1141552790      125.8190890347      1.11820152
        20   -31499.4820849792   -31374.5942030574      894.6062044518   -31499.4820849792      124.8878819218      1.08908583
        21   -31498.1711911406   -31373.2566146081      894.7974252818   -31498.1711911406      124.9145765326      1.10318627
        22   -31497.9227625021   -31372.2842369687      899.9832708413   -31497.9227625021      125.6385255334      1.09125690
        23   -31497.8610108212   -31372.1302500105      900.6439774688   -31497.8609168716      125.7307608107      0.48455932
        24   -31497.9210847961   -31371.2152286515      907.6288532008   -31497.9041622950      126.7058561446      1.00986171
        25   -31498.8088070151   -31370.1139182957      921.8768399146   -31498.7522637270      128.6948887195      1.06821559
        26   -31500.5668972445   -31368.6237652824      945.1448985425   -31500.5485246482      131.9431319621      1.01729763
        27   -31502.4925981252   -31367.3785450125      967.8590777844   -31502.4923792162      135.1140531127      1.06583412
        28   -31503.5553063401   -31366.6884595545      980.4148203495   -31503.5553062880      136.8668467856      1.05615181
        29   -31503.8458691157   -31365.6814699839      989.7095442387   -31503.8458691157      138.1643991319      1.00850430
        30   -31504.2237675151   -31366.1238031625      989.2479802146   -31504.2237675151      138.0999643526      1.04319702
        31   -31504.7824645790   -31365.6567162533      996.5959525933   -31504.7824645271      139.1257483257      1.02819944
        32   -31504.6465981950   -31365.4116945174      997.3778623638   -31504.6461546811      139.2349036777      1.01765473
        33   -31503.4614259222   -31365.1791454959      990.5539603318   -31503.4031975436      138.2822804262      1.01953288
        34   -31502.0526063473   -31364.8936513134      982.5072719733   -31501.8067712453      137.1589550339      1.07056028
        35   -31501.0984787476   -31364.9376788679      975.3572124140   -31500.8256709858      136.1607998797      1.03126002
        36   -31500.6131393658   -31364.6995077065      973.5866785554   -31500.5056345871      135.9136316594      1.04586752
        37   -31499.8648874984   -31363.7677983168      974.9008351820   -31499.8608319688      136.0970891815      1.05691881
        38   -31498.7738680442   -31363.1591295935      971.4456243968   -31498.7738419814      135.6147384507      1.03528742
        39   -31498.0824421026   -31362.3514945078      972.2780624186   -31498.0824375570      135.7309475948      1.04151803
        40   -31498.1279375292   -31361.9250618822      975.6586126934   -31498.1277698384      136.2028756470      1.03279715
        41   -31498.1549286288   -31360.4941431537      986.1020212743   -31498.1367375207      137.6607854751      1.04164676
        42   -31497.7567012735   -31359.9952948788      986.8227965616   -31497.5893227977      137.7614063947      1.07563494
        43   -31497.2887200002   -31359.4689380910      987.2409564077   -31497.0114185387      137.8197819092      1.04971805
        44   -31497.3829362524   -31358.2171915604      996.8824575520   -31497.1862870806      139.1657446920      1.07738418
        45   -31497.6276707232   -31357.7387848538     1002.0625164497   -31497.5988658744      139.8888858694      1.06729379
        46   -31497.3127611130   -31355.9940308445     1012.3048846534   -31497.3126068417      141.3187302685      1.07279776
        47   -31496.1106610896   -31355.2878648559     1008.7523729310   -31496.1106609568      140.8227962337      0.95822148
        48   -31494.8820605909   -31354.1527385478     1008.0827916269   -31494.8820605799      140.7293220431      1.02010400
        49   -31494.1848935478   -31352.6028700866     1014.1909261189   -31494.1848916105      141.5820234612      1.10830451
        50   -31493.3181259479   -31351.9767173883     1012.4673354824   -31493.3141894386      141.3414085596      1.09829481
        51   -31491.7208149817   -31351.1486106137     1006.9573145609   -31491.5290509637      140.5722043681      1.00756496
        52   -31489.8343264100   -31350.6032608881      997.3503686002   -31489.3825931217      139.2310655220      1.07337290
        53   -31489.1148424281   -31350.0215633815      996.3633662274   -31488.7148071871      139.0932790465      1.07435620
        54   -31489.3186447362   -31348.9073780239     1005.8044739243   -31489.2447467909      140.4112667124      0.99653748
        55   -31489.7945682661   -31348.7112494503     1010.6185677515   -31489.7944022179      141.0833188158      1.03109571
        56   -31490.0364188385   -31348.6381905210     1012.8743510164   -31490.0364188334      141.3982283175      1.08431510
        57   -31490.7581440367   -31347.8850742349     1023.4390457018   -31490.7581440367      142.8730698018      1.07603737
        58   -31492.6729857114   -31348.3914279921     1033.5284315616   -31492.6729857113      144.2815577193      1.09999504
        59   -31495.1353842433   -31348.2909377338     1051.8871079816   -31495.1353841067      146.8444465094      1.06995024
        60   -31497.0254202532   -31346.8528763259     1075.7271840019   -31497.0251157838      150.1725439273      1.10352557
        61   -31498.3074485288   -31345.7299855200     1092.9542800055   -31498.2948506769      152.5774630088      1.03060893
        62   -31499.7179664274   -31344.7833587435     1109.8391548117   -31499.6936120686      154.9346076838      1.10677453
