      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
      1250   -31402.7046012109   -31195.0366692585     1487.5824421997   -31402.7046012109      207.6679319524      3.23848415
      1300   -31403.0129362589   -31193.3490684661     1501.8798789008   -31403.0114811259      209.6638677928      4.41480082
      1350   -31400.6858958517   -31201.5264959042     1426.6334901850   -31400.6858958517      199.1593999474      5.19743254
      1400   -31411.0815014793   -31204.8311419206     1477.4279817414   -31411.0815014793      206.2503595587      4.40079180
      1450   -31413.0615580764   -31209.9662245013     1454.8276639468   -31413.0615580764      203.0953335751      4.63562873
      1500   -31403.3873903949   -31205.0758103685     1420.5603231971   -31403.3873903949      198.3115800263      4.12069522
      1550   -31412.1297762360   -31203.2328078134     1496.3863680477   -31412.1297762360      208.8969684227      6.63980848
      1600   -31406.9532096212   -31200.6079243576     1478.1079606412   -31406.9532096210      206.3452852636      5.82781488
      1650   -31408.0405684334   -31201.2513439543     1481.2880191909   -31408.0405215516      206.7892244792      2.83770498
      1700   -31410.4664119374   -31198.1605520027     1520.8051943587   -31410.4664119165      212.3058599347      2.81711715
      1750   -31405.8280616929   -31198.6170914042     1484.3091002766   -31405.8280616929      207.2109702887      4.43898453
      1800   -31402.4820723349   -31203.1836583073     1427.6292862277   -31402.4820723349      199.2984140276      2.62293399
      1850   -31409.0796906801   -31201.2283574017     1488.8961962773   -31409.0796906801      207.8513332784      6.83559809
      1900   -31405.9243414157   -31195.9141691121     1504.3605532400   -31405.8731014092      210.0101723036      3.65642892
      1950   -31411.2907025289   -31206.4983439228     1466.9839204109   -31411.2907025289      204.7923586062      4.64654633
      2000   -31412.4957711822   -31199.5111686374     1525.6672141229   -31412.4943924525      212.9846025448      3.60836845
      2050   -31405.1794771177   -31194.5695480930     1508.6567753839   -31405.1794771177      210.6099290247      2.80977021
      2100   -31408.0037643236   -31198.6930841391     1499.3498990432   -31408.0037643236      209.3106801846      5.64862308
      2150   -31405.3049670454   -31194.9511929163     1506.8218675024   -31405.3049670454      210.3537741291      6.87518551
      2200   -31404.9315451648   -31202.3434190916     1451.1943972823   -31404.9315451648      202.5881260732      3.01155687
      2250   -31409.5494245947   -31202.8331064334     1480.7657712089   -31409.5494245947      206.7163181613      6.01530544
