      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0     5058.2511888201     5058.2511888201        0.0000000000     5060.8627277342        0.0000000000      0.00000000
         1     5058.0001431898     5058.2514674632        1.8003048085     5060.6820633380        0.2513242734      0.49570873
         2     5057.2577392422     5058.2558683321        7.1498728532     5060.1409081615        0.9981290899      0.51748626
         3     5056.0604144429     5058.2714175159       15.8380223663     5059.2394058870        2.2110030730      0.41324135
         4     5054.4706271042     5058.3040564359       27.4599073324     5057.9721119518        3.8334293318      0.50767046
         5     5052.5515387132     5058.3489377842       41.5283620694     5056.3234162039        5.7973990709      0.50437777
         6     5050.3226187216     5058.3891605259       57.7828547939     5054.2667057294        8.0665418043      0.50573276
reaction occured at step 6 between IDs 1 and 2
         7     5047.7456875959     5058.4093968504       76.3870786725     5050.7939515819       10.6637092546      0.18052104
         8     5044.7636168131     5058.4148854192       97.7877869796     5047.5852757904       13.6512686062      0.49672113
         9     5041.3442841214     5058.4142127390      122.2765877354     5044.1302882346       17.0699286176      0.49674155
        10     5037.4938894292     5058.4149452387      149.8632697018     5040.4546162656       20.9210558096      0.50045623
        11     5033.2647532604     5058.4292409765      180.2601381035     5036.5825057069       25.1644877161      0.49865544
        12     5028.7726730295     5058.4758809173      212.7722374633     5032.5344536774       29.7032078878      0.50156449
        13     5024.1735439662     5058.5572610902      246.3000108406     5028.3182197359       34.3837171239      0.50223180
reaction occured at step 13 between IDs 1 and 13
        14     5019.5540893729     5058.6346998604      279.9451482231     5022.5037081334       39.0806104875      0.18449736
        15     5014.8546362324     5058.6749831876      313.8971825296     5017.2817978384       43.8203469552      0.50123496
        16     5009.9603693430     5058.6835711757      349.0176788136     5012.0059474504       48.7232018327      0.50146038
        17     5004.8171316617     5058.6830390229      385.8562911966     5006.7071411256       53.8659073612      0.50435321
        18     4999.4299239505     5058.6803617839      424.4271620796     5001.4107865788       59.2504378333      0.50118990
        19     4993.8283250025     5058.6779687328      464.5358120013     4996.1485679187       64.8496437303      0.50406558
        20     4988.0949803427     5058.7007382371      505.7684389422     4990.9606422175       70.6057578944      0.49901593
        21     4982.4337405876     5058.7935915521      546.9865882315     4985.8853759625       76.3598509645      0.50631570
        22     4977.0998077598     5058.9443620783      586.2750249845     4980.9348443206       81.8445543185      0.50092318
reaction occured at step 22 between IDs 1 and 2
        23     4972.1226673716     5059.0587062725      622.7467276607     4974.9765949229       86.9360389010      0.18313100
        24     4967.2665289208     5059.0886818765      657.7473048326     4969.4432959764       91.8221529557      0.50256961
        25     4962.3444872234     5059.0852854642      692.9809121436     4964.1378900366       96.7407982408      0.50539774
        26     4957.3372796058     5059.0826930791      728.8303458037     4959.0744298027      101.7454134733      0.48423623
        27     4952.2776869635     5059.0769060225      765.0321434764     4954.2739192231      106.7992190590      0.48846576
        28     4947.2061737927     5059.0760119159      801.3543807136     4949.7725097128      111.8698381232      0.50054610
        29     4942.2665411078     5059.1367751273      837.1735901090     4945.6153628426      116.8702340195      0.49956626
        30     4937.7835574992     5059.3122054999      870.5430891056     4941.8329742940      121.5286480007      0.50164433
reaction occured at step 30 between IDs 1 and 13
        31     4934.0020611303     5059.5135452736      899.0732384662     4936.7993439317      125.5114841433      0.18408639
        32     4930.7276277281     5059.5832899624      923.0285047649     4932.6107419779      128.8556622342      0.50121763
        33     4927.6183614931     5059.5475121711      945.0447467637     4928.8096514859      131.9291506780      0.50573629
        34     4924.5952987733     5059.5043188656      966.3903699373     4925.3859681053      134.9090200923      0.50504204
        35     4921.7409129508     5059.4807805917      986.6685085519     4922.3180295566      137.7398676409      0.50328502
        36     4919.1292060706     5059.4698898175     1005.2988687538     4919.5890983143      140.3406837469      0.48283940
        37     4916.7984926183     5059.4647175338     1021.9573589617     4917.1889735841      142.6662249155      0.49082764
        38     4914.7659802279     5059.4619859241     1036.4972362676     4915.1108434389      144.6960056962      0.48092029
        39     4913.0381784884     5059.4602921691     1048.8618219162     4913.3486518533      146.4221136807      0.49511612
        40     4911.6154755539     5059.4589724821     1059.0435805665     4911.8955900936      147.8434969282      0.50112753
        41     4910.4939339532     5059.4575998446     1067.0676585564     4910.7433236980      148.9636658914      0.48803489
        42     4909.6659106634     5059.4557662722     1072.9858824531     4909.8816543023      149.7898556087      0.48397431
        43     4909.1201972803     5059.4530015036     1076.8751725251     4909.2984809853      150.3328042233      0.48850198
        44     4908.8420958811     5059.4488094400     1078.8372603382     4908.9800348191      150.6067135589      0.46616267
        45     4908.8138913014     5059.4428624124     1078.9966972973     4908.9114192388      150.6289711109      0.47801804
        46     4909.0162786828     5059.4353480750     1077.4931136269     4909.0774874183      150.4190693922      0.49188026
        47     4909.4310157895     5059.4272513275     1074.4642385784     4909.4639891730      149.9962355380      0.47219736
        48     4910.0440156445     5059.4201329848     1070.0221615842     4910.0587141614      149.3761173404      0.47904487
        49     4910.8469407372     5059.4152647461     1064.2357160530     4910.8521634549      148.5683240089      0.48948182
        50     4911.8359143378     5059.4128412054     1057.1340659968     4911.8373416882      147.5769268676      0.41884867
        51     4913.0083774418     5059.4121345748     1048.7303289224     4913.0086681002      146.4037571330      0.47453464
        52     4914.3603977347     5059.4123016294     1039.0466328272     4914.3604407078      145.0519038947      0.47926345
        53     4915.8853485322     5059.4128808913     1028.1271407789     4915.8853530620      143.5275323592      0.49776502
        54     4917.5733049638     5059.4137412987     1016.0420085178     4917.5733053014      141.8404363349      0.50087125
        55     4919.4105251492     5059.4148794692     1002.8896486800     4919.4105251670      140.0043543200      0.49714361
        56     4921.3789698054     5059.4163095093      988.7993826534     4921.3789698054      138.0373397039      2.08083527
        57     4923.4560134221     5059.4180314892      973.9332836860     4923.4560134221      135.9620180671      2.13357589
        58     4925.6144430992     5059.4200256719      958.4861438743     4925.6144430992      133.8055825727      2.13539887
        59     4927.8227754263     5059.4222523994      942.6832034552     4927.8227754263      131.5994769731      2.16260587
        60     4930.0458860931     5059.4246538326      926.7756531939     4930.0458860931      129.3787677395      2.12656455
        61     4932.2459220959     5059.4271570982      911.0341225427     4932.2459220959      127.1812350022      2.13319911
        62     4934.3834445642     5059.4296787117      895.7405249432     4934.3834445642      125.0462341475      2.18701186
        63     4936.4187306494     5059.4321301215      881.1787717511     4936.4187306494      123.0133994721      2.17402283
        64     4938.3131465741     5059.4344241218      867.6249826480     4938.3131465741      121.1212775477      2.13219502
        65     4940.0304923342     5059.4364817199      855.3379023594     4940.0304923342      119.4059893856      2.17389242
        66     4941.5382138557     5059.4382388235      844.5502655517     4941.5382138557      117.9000249678      2.15816256
        67     4942.8083832246     5059.4396519235      835.4618158745     4942.8083832246      116.6312686989      2.12900077
        68     4943.8183640196     5059.4407018974      828.2345672539     4943.8183640196      115.6223378778      2.14139258
        69     4944.5511068835     5059.4413952660      822.9906956272     4944.5511068835      114.8902883825      2.13533596
        70     4944.9950573362     5059.4417626704      819.8131884017     4944.9950573362      114.4467053342      2.07624536
        71     4945.1436976529     5059.4418548721      818.7490974486     4945.1436976529      114.2981572192      2.03771854
        72     4944.9947805700     5059.4417369873      819.8149869792     4944.9947805700      114.4469564173      2.09248991
        73     4944.5493391561     5059.4414818371      823.0039784767     4944.5493391561      114.8921426810      2.11083333
        74     4943.8105718945     5059.4411632188      828.2936889582     4943.8105718945      115.6305913243      2.09345695
        75     4942.7827053446     5059.4408496997      835.6543335833     4942.7827053446      116.6581443552      2.11101777
        76     4941.4699309262     5059.4405993225      845.0563038351     4941.4699309262      117.9706683962      2.12925095
        77     4939.8754999835     5059.4404554547      856.4766200974     4939.8754999835      119.5649554711      2.12993926
        78     4938.0010444351     5059.4404439259      869.9037775130     4938.0010444351      121.4393994908      2.10342088
        79     4935.8461704442     5059.4405715383      885.3406459690     4935.8461704442      123.5944010941      2.13200686
        80     4933.4083507249     5059.4408259905      902.8052409887     4933.4083507249      126.0324752655      2.13527305
        81     4930.6831183600     5059.4411771893      922.3293447639     4930.6831183600      128.7580588293      2.13144257
        82     4927.6645425091     5059.4415798544      943.9551171763     4927.6645425091      131.7770373453      2.14139258
        83     4924.3459454487     5059.4419772330      967.7299860580     4924.3459454487      135.0960317842      2.05394545
        84     4920.7208023741     5059.4423056665      993.7002343754     4920.7208023741      138.7215032924      1.46127085
