      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0   -31397.4953416500   -31397.4953416500        0.0000000000   -31396.4231984736        0.0000000000      0.00000000
         1   -31397.5960651682   -31397.4956839807        0.7190580204   -31396.4756180453        0.1003811875      0.15429854
         2   -31397.8643069448   -31397.5484211850        2.2627764703   -31396.6681394936        0.3158857598      0.15705395
         3   -31398.2884046109   -31397.5663683622        5.1721439904   -31397.0102823623        0.7220362487      0.15489971
         4   -31398.8717219717   -31397.6244716588        8.9343966063   -31397.4934333291        1.2472503129      0.15574551
         5   -31399.6051021489   -31397.6587255006       13.9424305940   -31398.1197823134        1.9463766483      0.15524211
         6   -31400.4859177009   -31397.7221489276       19.7976349202   -31398.8833541212        2.7637687733      0.15338844
         7   -31401.5042082584   -31397.7669617589       26.7709232837   -31399.7820196404        3.7372464995      0.15744665
         8   -31402.6537650574   -31397.8307105080       34.5488646127   -31400.8101649528        4.8230545494      0.15328334
         9   -31403.9249531384   -31397.8782096995       43.3144842707   -31401.9641815049        6.0467434388      0.15509196
        10   -31405.3096251330   -31397.9357446999       52.8211311203   -31403.2377375894        7.3738804331      0.15533294
        11   -31406.7992818835   -31397.9780558158       63.1888654821   -31404.6266890108        8.8212260678      0.15324801
        12   -31408.3868006793   -31398.0244760276       74.2281779728   -31406.1254733361       10.3623246517      0.15239411
        13   -31410.0640049952   -31398.0565715494       86.0125441707   -31407.7286450679       12.0074334458      0.16025643
        14   -31411.8246689012   -31398.0873988692       98.4038388172   -31409.4308495674       13.7372700320      0.08834688
        15   -31413.6619578053   -31398.1049262893      111.4392902088   -31411.2268433354       15.5570315160      0.14445015
        16   -31415.5721601484   -31398.1182951226      125.0268296931   -31413.1132939284       17.4538650258      0.15760003
        17   -31417.5494132214   -31398.1206602898      139.1734942566   -31415.0853155118       19.4287529316      0.15880901
        18   -31419.5889219220   -31398.1146772813      153.8259132584   -31417.1382295651       21.4742446407      0.16003951
        19   -31421.6875569901   -31398.1000244345      168.9639751053   -31419.2693950040       23.5875325556      0.16035713
        20   -31423.8403960626   -31398.0753095556      184.5623922248   -31421.4734428380       25.7650865070      0.15449424
        21   -31426.0444591112   -31398.0438140688      200.5763121141   -31423.7470011721       28.0006450424      0.15510424
        22   -31428.2951222780   -31398.0022566887      216.9961175561   -31426.0839584221       30.2928655893      0.14898244
        23   -31430.5894311882   -31397.9565828033      233.7580571060   -31428.4796729728       32.6328483850      0.15615388
        24   -31432.9225998915   -31397.9025865414      250.8579754966   -31430.9266023283       35.0200133501      0.15847566
        25   -31435.2914288994   -31397.8468867217      268.2255414984   -31433.4185794304       37.4445421777      0.15611789
        26   -31437.6936740835   -31397.7876844850      285.8575655239   -31435.9493893350       39.9059895985      0.15693663
        27   -31440.1265877895   -31397.7307231865      303.6932241409   -31438.5121256628       42.3958646030      0.15968233
        28   -31442.5878057906   -31397.6739810161      321.7300645236   -31441.0994188826       44.9138247745      0.15844240
        29   -31445.0777293570   -31397.6236650581      339.9264980314   -31443.7067538558       47.4540642989      0.15706757
        30   -31447.5953676711   -31397.5793923481      358.2781704444   -31446.3280629884       50.0159753229      0.15878813
        31   -31450.1400930719   -31397.5444026060      376.7573786515   -31448.9585586398       52.5956904659      0.15880866
        32   -31452.7092233254   -31397.5179942065      395.3499350082   -31451.5922317949       55.1912291189      0.15750858
        33   -31455.3000112988   -31397.5014428976      414.0270225137   -31454.2245219039       57.7985684012      0.15789461
        34   -31457.9078864363   -31397.4944766637      432.7578495445   -31456.8502075816       60.4134097726      0.16063399
        35   -31460.5277025388   -31397.4976149416      451.5018315944   -31459.4648364029       63.0300875972      0.15924062
        36   -31463.1502397545   -31397.5082494356      470.2116082703   -31462.0608848321       65.6419903190      0.15908788
        37   -31465.7687468113   -31397.5270581162      488.8339618663   -31464.6343693401       68.2416886951      0.15970731
        38   -31468.3730175181   -31397.5518817901      507.3112495274   -31467.1787760048       70.8211357280      0.15654478
        39   -31470.9542985065   -31397.5820210346      525.5857786284   -31469.6898623573       73.3722774719      0.15613100
        40   -31473.5014602258   -31397.6140179174      543.6025952595   -31472.1615170556       75.8874423085      0.15779114
        41   -31476.0068766019   -31397.6468750081      561.3142166234   -31474.5914173555       78.3600015938      0.15825765
        42   -31478.4622098055   -31397.6776057529      578.6823100655   -31476.9765552703       80.7846040526      0.15599961
        43   -31480.8612050111   -31397.7038853035      595.6787240786   -31479.3159379127       83.1573197076      0.15845798
        44   -31483.1987805058   -31397.7234383212      612.2833558337   -31481.6095873061       85.4753421846      0.15796894
