# Analytic	Finite_differences	Diff	Abs_diff	Norm_diff
-11.909305156403002	-11.910136085134582	0.0008309287315793057	0.0008309287315793057	6.977138637954535e-05
-3.6911045858224876	-3.690483759783092	-0.0006208260393956166	0.0006208260393956166	0.00016819519061589478
-2.4244548283147593	-2.4248567442555213	0.00040191594076199877	0.00040191594076199877	0.00016577580083905745
14.467777806587096	14.468426315943361	-0.0006485093562655919	0.0006485093562655919	4.482439286359024e-05
5.369507367384266	5.371076902520144	-0.0015695351358786525	0.0015695351358786525	0.0002923052392873883
1.1224214728911963	1.1211151850147871	0.0013062878764091845	0.0013062878764091845	0.001163812264785326
# 2.8763913608220824	2.8819023646065034	-0.0055110037844210424	0.0055110037844210424	0.0019159436575577737
# 0.35120672658573543	0.3501337796478765	0.0010729469378589207	0.0010729469378589207	0.003055029578418386
# -0.7814696173025191	-0.7738567892374704	-0.007612828065048705	0.007612828065048705	0.00974168143775916
# 2.925655479294572	2.9305722146091284	-0.004916735314556497	0.004916735314556497	0.0016805585446930376
# -0.4226095505821857	-0.43070264655398205	0.00809309597179636	0.00809309597179636	0.01915029123371049
# 0.23408940243021684	0.23513520500273444	-0.0010458025725176012	0.0010458025725176012	0.004467534889065984
# 0.3513610437736354	0.3591991971916286	-0.00783815341799321	0.00783815341799321	0.02230797510677634
# -0.6201971736505786	-0.6243185507628368	0.00412137711225824	0.00412137711225824	0.006645269097243967
# 0.3903813114796023	0.3880563526763581	0.002324958803244237	0.002324958803244237	0.005955609899542329
# 0.242517260804185	0.23935474200698081	0.0031625187972041946	0.0031625187972041946	0.013040386431536094
# 2.8427275876653724	2.8495431288320106	-0.006815541166638184	0.006815541166638184	0.0023975358019568582
# -0.33759539252797915	-0.3375467931618914	-4.8599366087753726e-05	4.8599366087753726e-05	0.00014395743296089538
# 0.3239555335861216	0.3277202213212149	-0.0037646877350933083	0.0037646877350933083	0.01162100147949005
# 2.778872704775427	2.778473084617872	0.0003996201575553471	0.0003996201575553471	0.0001438065719486212
# 2.8784285963066316	2.878873425288475	-0.0004448289818435036	0.0004448289818435036	0.00015453882803077778
# -0.07480934019366099	-0.07617032315465622	0.0013609829609952245	0.0013609829609952245	0.018192687670710778
# 2.128973359692537	2.128008056388353	0.0009653033041838732	0.0009653033041838732	0.0004534125801946535
# 0.1530246476026535	0.1564327048981795	-0.0034080572955260124	0.0034080572955260124	0.02227129648012936
# 1.9889513849797116	1.994166388612939	-0.005215003633227466	0.005215003633227466	0.0026219864761956773
# 6.192847679988035	6.180861602842924	0.011986077145111018	0.011986077145111018	0.0019354710085706767
# -7.271468480929356	-7.268782941537211	-0.002685539392145664	0.002685539392145664	0.00036932559072337873
# -1.0974000836656845	-1.093600323656574	-0.003799760009110642	0.003799760009110642	0.003462511134879969
# -0.8057813857573903	-0.8139767560351174	0.008195370277727099	0.008195370277727099	0.010170711836466537
# -1.8904750172807963	-1.8938092434837017	0.003334226202905466	0.003334226202905466	0.001763697574645191
# -0.6840206544837873	-0.6850678655609954	0.0010472110772080656	0.0010472110772080656	0.001530964116863355
# -3.096344594830736	-3.0962023811298423	-0.00014221370089373409	0.00014221370089373409	4.5929545804157594e-05
# 2.7941924651279892	2.7916374001506483	0.002555064977340926	0.002555064977340926	0.0009144198222665705
# 0.5693594006575499	0.5690901543857763	0.0002692462717736044	0.0002692462717736044	0.0004728933455083967
# 4.09414850165213	4.100191108591389	-0.006042606939258732	0.006042606939258732	0.0014759129857698937
# 2.5167880959001363	2.5163245718431426	0.0004635240569936805	0.0004635240569936805	0.00018417285815550548
2.4852478989372013	2.4953866814030334	-0.010138782465832108	0.010138782465832108	0.004079585972155087
-5.83164582810943	-5.826841206726385	-0.004804621383044605	0.004804621383044605	0.0008238877196357829
1.5540193990535371	1.5575338875351008	-0.00351448848156366	0.00351448848156366	0.00226154736787979
# -3.009700397709569	-3.0026486183487577	-0.007051779360811139	0.007051779360811139	0.0023430170545140168
# 0.38077615790666663	0.37718008388765156	0.003596074019015072	0.003596074019015072	0.009444062986465971
# -0.7867963711677466	-0.7941972908156458	0.00740091964789924	0.00740091964789924	0.009406397791228944
# 0.9587181619837689	0.9610014094505459	-0.002283247466776994	0.002283247466776994	0.0023815627546395117
# -1.050659237066842	-1.0467958563822322	-0.003863380684609785	0.003863380684609785	0.0036771015266522616
# 0.4967202647654537	0.4990974503016332	-0.0023771855361794936	0.0023771855361794936	0.004785763144376597
# 1.0339586037281376	1.0333985192119144	0.0005600845162232471	0.0005600845162232471	0.0005416894972426885
# 2.1884893853798144	2.187349544328754	0.001139841051060575	0.001139841051060575	0.0005208346262382051
# 3.1476240278397425	3.1364244259748375	0.011199601864904984	0.011199601864904984	0.0035581129657951635
# 0.9036980005928454	0.9051248889591079	-0.0014268883662624798	0.0014268883662624798	0.0015789438123426302
# 1.5895293526250098	1.5854431458137697	0.004086206811240167	0.004086206811240167	0.0025707023305307627
# -0.017340925259752414	-0.014676279533887282	-0.002664645725865132	0.002664645725865132	0.15366225769103953
# -3.132772428750397	-3.136878853183589	0.004106424433191869	0.004106424433191869	0.0013107956375975395
# -5.399705577780229	-5.396115742769325	-0.003589835010903819	0.003589835010903819	0.0006648205090433039
# -1.203942989753855	-1.197988092826563	-0.005954896927292008	0.005954896927292008	0.004946161884716386
# -1.8850028344887753	-1.8814936665876303	-0.0035091679011449717	0.0035091679011449717	0.0018616247344246993
# 1.8137471605296598	1.8138093710149406	-6.2210485280767e-05	6.2210485280767e-05	3.429942531934825e-05
