0  3.12873
1  3.16767
2  3.28558
3  3.48567
4  3.77301
5  4.15399
6  4.63569
7  5.22496
8  5.92734
9  6.74589
10  7.68001
11  8.72428
12  9.86768
13  11.093
14  12.3769
15  13.6901
16  14.9988
32  14.5659
33  13.378
34  12.2178
35  11.1115
36  10.0797
37  9.13733
38  8.29371
39  7.55335
40  6.91684
41  6.3818
42  5.94403
43  5.59846
44  5.34002
45  5.16438
46  5.06839
47  5.05049
48  5.11087
49  5.25145
50  5.47577
51  5.78868
52  6.19579
53  6.70282
54  7.31472
55  8.03462
56  8.86272
57  9.79516
58  10.8231
59  11.9319
60  13.101
61  14.3036
77  14.4736
78  13.0652
79  11.6492
80  10.263
81  8.9392
82  7.70457
83  6.57907
84  5.57593
85  4.7019
86  3.95808
87  3.34095
88  2.8437
89  2.45763
90  2.17351
91  1.98284
92  4.73286
93  5.12526
94  5.59166
95  6.13296
96  6.74886
97  7.43741
98  8.19466
99  9.01438
100  9.88787
101  10.8039
102  11.7487
103  12.7066
104  13.66
105  14.5901
125  14.9732
126  14.5237
127  14.1159
128  13.7563
129  13.4497
130  13.1995
131  13.0083
132  12.8777
133  12.8087
134  12.8021
135  12.8583
136  12.9779
137  13.161
138  13.4078
139  13.7181
140  14.0911
141  14.5253
142  15.0182
170  14.6374
171  13.8209
172  13.0535
173  12.3443
174  11.7003
175  11.1264
176  10.6264
177  10.2022
178  9.85519
179  9.58581
180  9.39416
181  9.28012
182  9.24345
183  9.28388
184  9.40104
185  9.59437
186  9.86291
187  10.205
188  10.6182
189  11.0985
190  11.6405
191  12.2368
192  12.8781
193  13.5527
194  14.2467
195  14.9445
211  14.8538
212  14.0075
213  13.1336
214  12.2515
215  11.3795
216  10.5342
217  9.72977
218  8.97833
219  8.28934
220  7.6699
221  7.1249
222  6.65737
223  6.2688
224  5.95962
225  5.72955
226  5.57799
227  5.50435
228  5.50819
229  5.58938
230  5.74809
231  5.98463
232  6.29929
233  6.692
234  7.16199
235  7.70737
236  8.32476
237  9.00893
238  9.75252
239  10.5458
240  11.3769
241  12.2313
242  13.0928
243  13.9436
244  14.7648
260  14.9118
261  14.2709
262  13.6375
263  13.0261
264  12.4493
265  11.9176
266  11.4394
267  11.021
268  10.6673
269  10.3813
270  10.1653
271  10.0202
272  9.94696
273  9.94574
274  10.0167
275  10.1601
276  10.3758
277  10.6639
278  11.0242
279  11.456
280  11.9581
281  12.5283
282  13.1631
283  13.8577
284  14.6051
314  15.063
315  14.6567
316  14.3135
317  14.0357
318  13.8248
319  13.682
320  13.6083
321  13.6044
322  13.6712
323  13.8093
324  14.0191
325  14.3005
326  14.653
327  15.075
357  14.9926
358  14.2884
359  13.6494
360  13.0832
361  12.5955
362  12.1906
363  11.8716
364  11.6408
365  11.4999
366  11.4501
367  11.4926
368  11.6283
369  11.858
370  12.1825
371  12.6019
372  13.1159
373  13.7232
374  14.4213
375  15.206
583  14.9327
584  13.9326
585  12.9665
586  12.0495
587  11.1942
588  10.4109
589  9.70741
590  9.08927
591  8.56012
592  8.12207
593  7.77608
594  7.52238
595  7.36082
596  7.29118
597  7.31336
598  7.42744
599  7.63371
600  7.93247
601  8.32383
602  8.80736
603  9.3817
604  10.0441
605  10.7903
606  11.6135
607  12.505
608  13.4532
609  14.4442
