      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0   -31397.4953416500   -31397.4953416500        0.0000000000   -31396.4231984736        0.0000000000      0.00000000
reaction occured at step 0 between IDs 1 and 2
         1   -31397.5960651681   -31397.4958798044        0.7176552805   -31397.1180684501        0.1001853637      0.08675139
         2   -31397.9029416495   -31397.4871941585        2.9781134820   -31397.4599400054        0.4157474910      0.16028372
         3   -31398.4187158578   -31397.4815173461        6.7134103841   -31398.0269486837        0.9371985117      0.16122070
         4   -31399.1342028619   -31397.4748010041       11.8867513390   -31398.8040625654        1.6594018578      0.16358484
         5   -31400.0299175305   -31397.4693498791       18.3420494661   -31399.7708453402        2.5605676515      0.09934763
         6   -31401.0830838440   -31397.4678882013       25.8966394696   -31400.9021515756        3.6151956427      0.09395967
         7   -31402.2750351386   -31397.4738203032       34.3924207426   -31402.1692551238        4.8012148355      0.16027131
         8   -31403.5937668687   -31397.4879196370       43.7378609745   -31403.5454293996        6.1058472317      0.16171280
         9   -31405.0211361550   -31397.5035378574       53.8506216628   -31405.0050494830        7.5175982976      0.16351251
        10   -31406.5275234445   -31397.5135867717       64.5693044830   -31406.5238840428        9.0139366728      0.16375190
        11   -31408.0808018891   -31397.5177303313       75.6661832056   -31408.0802750922       10.5630715578      0.15977632
        12   -31409.6565894978   -31397.5193490324       86.9423875092   -31409.6565427911       12.1372404654      0.16320947
        13   -31411.2395557643   -31397.5197252087       98.2789150573   -31411.2395532757       13.7198305556      0.16321976
        14   -31412.8238115193   -31397.5197156955      109.6274423649   -31412.8238114387       15.3040958238      0.16233834
        15   -31414.4096568147   -31397.5187534168      120.9941809091   -31414.4096568131       16.8909033979      0.16116979
        16   -31416.0056940306   -31397.5181039198      132.4316864376   -31416.0056940306       18.4875901108      0.16257904
        17   -31417.6240722893   -31397.5170765738      144.0319336291   -31417.6240722893       20.1069957156      0.16049313
        18   -31419.2821413185   -31397.5159106804      155.9174891646   -31419.2821413185       21.7662306381      0.16139698
        19   -31421.0000230354   -31397.5148513777      168.2307358750   -31421.0000230354       23.4851716577      0.16196721
        20   -31422.7983752703   -31397.5136032775      181.1217674192   -31422.7983752703       25.2847719928      1.15349535
        21   -31424.6980940643   -31397.5127994515      194.7357330124   -31424.6980940643       27.1852946127      1.15093092
        22   -31426.7162754995   -31397.5116923735      209.2004513238   -31426.7162754995       29.2045831260      1.15531567
        23   -31428.8679839015   -31397.5114962046      224.6151348855   -31428.8679839015       31.3564876969      1.14783227
        24   -31431.1607697681   -31397.5112130178      241.0410184131   -31431.1607697681       33.6495567503      1.15016382
        25   -31433.5974643807   -31397.5113783199      258.4945471694   -31433.5974643807       36.0860860607      1.12695059
        26   -31436.1740087068   -31397.5124144625      276.9436197709   -31436.1740087068       38.6615942443      1.15516836
        27   -31438.8784084192   -31397.5136474496      296.3071455746   -31438.8784084192       41.3647609696      1.15614499
        28   -31441.6927414166   -31397.5149100627      316.4579414775   -31441.6927414166       44.1778313539      1.15318334
        29   -31444.5939875237   -31397.5165286651      337.2287698104   -31444.5939875237       47.0774588586      1.15662469
        30   -31447.5547976504   -31397.5188739912      358.4210658570   -31447.5547976504       50.0359236592      0.16234488
        31   -31450.5436550584   -31397.5210129330      379.8157506702   -31450.5436550584       53.0226421253      0.16269035
        32   -31453.5289620612   -31397.5231003403      401.1853721126   -31453.5289620612       56.0058617208      0.15899504
        33   -31456.4793682230   -31397.5249423341      422.3067472083   -31456.4793682229       58.9544258889      0.16065179
        34   -31459.3657397927   -31397.5262451620      442.9732871234   -31459.3657397913       61.8394946307      0.15902470
        35   -31462.1642460776   -31397.5281389911      463.0061903639   -31462.1642459979       64.6361070865      0.16088859
        36   -31464.8534153327   -31397.5289203528      482.2638513343   -31464.8534123385       67.3244949799      0.16302005
        37   -31467.4205361120   -31397.5294524406      500.6490311642   -31467.4204691915       69.8910836714      0.16038907
        38   -31469.8594658812   -31397.5302033812      518.1143758724   -31469.8586002291       72.3292625000      0.16328007
        39   -31472.1747511572   -31397.5339200826      534.6727765515   -31472.1682113667       74.6408310746      0.16318816
        40   -31474.3854629532   -31397.5453997575      550.4264803559   -31474.3554887157       76.8400631957      0.16334520
        41   -31476.5209151622   -31397.5655250782      565.5791479298   -31476.4323431327       78.9553900840      0.16259509
        42   -31478.5958464651   -31397.5835313866      580.3134666953   -31478.4132617504       81.0123150785      0.16364579
        43   -31480.6025159143   -31397.5919876789      594.6272164400   -31480.3144568743       83.0105282354      0.16292074
        44   -31482.5416557069   -31397.6011262265      608.4523455227   -31482.1571894764       84.9405294805      0.16320580
        45   -31484.4439799655   -31397.6233761880      621.9198341615   -31483.9657979230       86.8206037775      0.15957194
        46   -31486.3575828865   -31397.6646027997      635.3321799999   -31485.7648292732       88.6929800867      0.16233106
        47   -31488.3051425626   -31397.7203090213      648.8840459800   -31487.5678132980       90.5848335413      0.16031598
reaction occured at step 47 between IDs 1 and 13
        48   -31490.2622235380   -31397.7173661999      662.9242348478   -31489.9807300820       92.5448573381      0.08350490
        49   -31492.2000435995   -31397.7040157235      676.9010053900   -31492.0192356976       94.4960278759      0.16071627
        50   -31494.1054280060   -31397.7079104369      690.5218983944   -31493.9932652300       96.3975175691      0.15410792
        51   -31495.9683607791   -31397.7145410618      703.8191006012   -31495.9021656215       98.2538197173      0.15836589
        52   -31497.7816856680   -31397.7221721351      716.7537814198   -31497.7453912292      100.0595135329      0.15785609
        53   -31499.5368780404   -31397.7285592773      729.2809536744   -31499.5188102901      101.8083187631      0.15828392
        54   -31501.2247775718   -31397.7330953843      741.3393482975   -31501.2167831424      103.4916821876      0.15173846
        55   -31502.8355179403   -31397.7358859220      752.8575346330   -31502.8324314935      105.0996320183      0.15680320
        56   -31504.3598105555   -31397.7376719055      763.7636678630   -31504.3587856750      106.6221386500      0.15854811
        57   -31505.7888509188   -31397.7384462270      773.9947298598   -31505.7885607766      108.0504046918      0.16065143
        58   -31507.1164228855   -31397.7387492068      783.5023222090   -31507.1163529791      109.3776736787      0.10544938
        59   -31508.3387947098   -31397.7392447274      792.2549578174   -31508.3387802797      110.5995499824      0.15833717
        60   -31509.4532473170   -31397.7392019898      800.2383941200   -31509.4532447240      111.7140453272      0.15928122
        61   -31510.4609027974   -31397.7393770355      807.4552532252   -31510.4609023811      112.7215257619      0.15845972
        62   -31511.3632186148   -31397.7386159312      813.9242412874   -31511.3632185529      113.6246026836      0.16027309
        63   -31512.1660086595   -31397.7380678583      819.6787728970   -31512.1660086506      114.4279408011      0.16074051
        64   -31512.8760071481   -31397.7380450101      824.7648507731   -31512.8760071468      115.1379621380      0.15838804
        65   -31513.5001281386   -31397.7376775470      829.2382331107   -31513.5001281384      115.7624505915      0.15842750
        66   -31514.0469916708   -31397.7369172565      833.1610129840   -31514.0469916708      116.3100744144      0.15627981
        67   -31514.5265732553   -31397.7367133266      836.5978484182   -31514.5265732553      116.7898599287      0.15369420
        68   -31514.9468456655   -31397.7361907884      839.6121182242   -31514.9468456655      117.2106548770      0.15631621
        69   -31515.3162455885   -31397.7356310809      842.2622406843   -31515.3162455885      117.5806145076      0.16093360
        70   -31515.6423501728   -31397.7356022882      844.5984236513   -31515.6423501728      117.9067478846      0.15516899
        71   -31515.9298933011   -31397.7353355508      846.6600847803   -31515.9298933011      118.1945577504      0.16093539
        72   -31516.1833943567   -31397.7355985337      848.4740986582   -31516.1833943567      118.4477958230      0.15684731
        73   -31516.4035923619   -31397.7352404167      850.0540027471   -31516.4035923619      118.6683519452      0.16086573
        74   -31516.5912295629   -31397.7349446343      851.4002183320   -31516.5912295629      118.8562849286      0.15866230
        75   -31516.7455431893   -31397.7355510130      852.5012655703   -31516.7455431893      119.0099921763      0.16093217
        76   -31516.8626002976   -31397.7360946319      853.3358837006   -31516.8626002975      119.1265056657      0.15726012
        77   -31516.9378393977   -31397.7359461296      853.8759058056   -31516.9378393976      119.2018932682      0.15824556
        78   -31516.9682218495   -31397.7364874073      854.0896663329   -31516.9682218486      119.2317344423      0.15545355
        79   -31516.9483117678   -31397.7366748045      853.9457025709   -31516.9483117614      119.2116369634      0.15989511
        80   -31516.8745360957   -31397.7367768376      853.4164962741   -31516.8745360505      119.1377592581      0.16039758
        81   -31516.7442734295   -31397.7369767675      852.4819568613   -31516.7442731228      119.0072966621      0.15725330
        82   -31516.5557746983   -31397.7368759265      851.1324110209   -31516.5557727630      118.8188987718      0.15832852
        83   -31516.3096181135   -31397.7366275920      849.3709026736   -31516.3096072199      118.5729905214      0.15722396
        84   -31516.0084227833   -31397.7364484793      847.2146408206   -31516.0083696537      118.2719743041      0.15777534
        85   -31515.6564522326   -31397.7361425770      844.6955703425   -31515.6562319924      117.9203096556      0.15774100
        86   -31515.2606092057   -31397.7361212000      841.8601911334   -31515.2598408144      117.5244880057      0.16117087
        87   -31514.8292908357   -31397.7363869812      838.7686353041   -31514.8270381526      117.0929038545      0.15810920
        88   -31514.3724186456   -31397.7368641284      835.4925163688   -31514.3668405232      116.6355545172      0.15994451
        89   -31513.9015015317   -31397.7380853788      832.1104595705   -31513.8897142383      116.1634161529      0.15768609
        90   -31513.4270637879   -31397.7396508368      828.7007178795   -31513.4055134020      115.6874129511      0.15908858
        91   -31512.9588918892   -31397.7416797850      825.3325400509   -31512.9242653944      115.2172121042      0.15852418
        92   -31512.5035594471   -31397.7432049073      822.0599438195   -31512.4538742206      114.7603545397      0.15797927
        93   -31512.0668984656   -31397.7447997975      818.9205966236   -31512.0022680489      114.3220986681      0.15779217
        94   -31511.6513844074   -31397.7454999537      815.9391398736   -31511.5741749907      113.9058844537      0.15839080
        95   -31511.2597522307   -31397.7457557608      813.1319385949   -31511.1741701659      113.5139964699      0.15798582
        96   -31510.8938761900   -31397.7458124174      810.5106621644   -31510.8052172856      113.1480637726      0.15795999
        97   -31510.5550882716   -31397.7458009900      808.0839130982   -31510.4688884106      112.8092872816      0.15449556
        98   -31510.2446328148   -31397.7461659671      805.8574209486   -31510.1658801276      112.4984668476      0.13827218
        99   -31509.9622720221   -31397.7463384152      803.8335577345   -31509.8947758557      112.2159336069      0.15622456
       100   -31509.7089776789   -31397.7475272796      802.0106246129   -31509.6549490581      111.9614503993      0.15331576
       101   -31509.4834690895   -31397.7493761224      800.3820008721   -31509.4433573380      111.7340929672      0.15798478
       102   -31509.2836045196   -31397.7514995907      798.9351050685   -31509.2562355245      111.5321049289      0.15787810
       103   -31509.1064940306   -31397.7537381747      797.6503783921   -31509.0895116430      111.3527558559      0.14279157
       104   -31508.9483102444   -31397.7560134586      796.5009659957   -31508.9388311062      111.1922967858      0.15871511
