      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
        25   -31398.3841498912   -31188.1055928948     1506.2830665189   -31398.3841498912      210.2785569964      0.24492121
        26   -31398.5601358708   -31188.1067471881     1507.5354339128   -31398.5601358708      210.4533886826      0.24477893
        27   -31398.8215315474   -31188.1079862193     1509.3990074285   -31398.8215315474      210.7135453281      0.24433168
        28   -31399.1500746803   -31188.1094578266     1511.7419106119   -31399.1500746803      211.0406168537      0.24623174
        29   -31399.5226590252   -31188.1113320108     1514.3974093256   -31399.5226590252      211.4113270144      0.25120293
        30   -31399.9120478141   -31188.1128392261     1517.1759115868   -31399.9120478141      211.7992085880      0.23219498
        31   -31400.2913043691   -31188.1147802585     1519.8787263226   -31400.2913043691      212.1765241106      0.21130734
        32   -31400.6327742808   -31188.1164778715     1522.3126086325   -31400.6327742808      212.5162964093      0.24242748
        33   -31400.9119690687   -31188.1176599702     1524.3040898944   -31400.9119690687      212.7943090985      0.26525534
        34   -31401.1096527823   -31188.1187228406     1525.7125390043   -31401.1096527823      212.9909299416      0.26677847
        35   -31401.2119399069   -31188.1193144943     1526.4410115982   -31401.2119399069      213.0926254126      0.15194842
        36   -31401.2116850383   -31188.1186281835     1526.4441021369   -31401.2116850382      213.0930568547      0.13652114
        37   -31401.1119489076   -31188.1182906262     1525.7320828517   -31401.1119488759      212.9936582814      0.08063475
        38   -31400.9211190509   -31188.1174773368     1524.3709419830   -31400.9211177830      212.8036417141      0.11908119
        39   -31400.6553418188   -31188.1159214870     1522.4782516409   -31400.6553260218      212.5394203318      0.12095178
        40   -31400.3380885712   -31188.1146042475     1520.2151152290   -31400.3379879191      212.2234843238      0.12150962
        41   -31399.9958672368   -31188.1130472845     1517.7748427571   -31399.9954327261      211.8828199523      0.12110578
        42   -31399.6585502433   -31188.1115916425     1515.3689756363   -31399.6572097529      211.5469586008      0.11916146
        43   -31399.3559614056   -31188.1103274794     1513.2105042196   -31399.3528712357      211.2456339262      0.11516862
        44   -31399.1154846756   -31188.1093168999     1511.4951424032   -31399.1099405737      211.0061677757      0.12056567
        45   -31398.9599257919   -31188.1088363623     1510.3842736099   -31398.9519239028      210.8510894295      0.12132778
        46   -31398.9049678894   -31188.1083853614     1509.9938257011   -31398.8954605060      210.7965825280      0.15281213
        47   -31398.9601739256   -31188.1083235266     1510.3897246435   -31398.9507674667      210.8518503990      0.15193600
        48   -31399.1277278644   -31188.1087181261     1511.5871329092   -31399.1199832002      211.0190097384      0.13742117
        49   -31399.4030400578   -31188.1099297972     1513.5505902444   -31399.3978019441      211.2931102606      0.15414463
