      Step          Pe(mixed)          E_total                Temp             Ke          paolo(te)       paolo(pe)
         0   -31397.4953416500   -31397.4953416500        0.0000000000   0.0000000000   -.31398295E+05 -.31398396E+05
         1   -31397.5960651681   -31397.4958798044        0.7176552805   0.1001853637   -.31398295E+05 -.31398699E+05
         2   -31397.9029416495   -31397.4871941585        2.9781134820   0.4157474910   -.31398295E+05 -.31399207E+05
         3   -31398.4187158578   -31397.4815173461        6.7134103841   0.9371985117   -.31398297E+05 -.31399913E+05
         4   -31399.1342028619   -31397.4748010041       11.8867513390   1.6594018578   -.31398299E+05 -.31400800E+05
         5   -31400.0299175305   -31397.4693498791       18.3420494661   2.5605676515   -.31398300E+05 -.31401846E+05
         6   -31401.0830838440   -31397.4678882013       25.8966394696   3.6151956427   -.31398300E+05 -.31403032E+05
         7   -31402.2750351386   -31397.4738203032       34.3924207426   4.8012148355   -.31398301E+05 -.31404346E+05
         8   -31403.5937668687   -31397.4879196370       43.7378609745   6.1058472317   -.31398303E+05 -.31405773E+05
         9   -31405.0211361550   -31397.5035378574       53.8506216628   7.5175982976   -.31398306E+05 -.31407285E+05
        10   -31406.5275234445   -31397.5135867717       64.5693044830   9.0139366728   -.31398308E+05 -.31408850E+05
        11   -31408.0808018891   -31397.5177303313       75.6661832056  10.5630715578   -.31398309E+05 -.31410439E+05
        12   -31409.6565894978   -31397.5193490324       86.9423875092  12.1372404654   -.31398309E+05 -.31412036E+05
        13   -31411.2395557643   -31397.5197252087       98.2789150573  13.7198305556   -.31398309E+05 -.31413635E+05
        14   -31412.8238115193   -31397.5197156955      109.6274423649  15.3040958238   -.31398309E+05 -.31415234E+05
        15   -31414.4096568147   -31397.5187534168      120.9941809091  16.8909033979   -.31398308E+05 -.31416841E+05
        16   -31416.0056940306   -31397.5181039198      132.4316864376  18.4875901108   -.31398307E+05 -.31418468E+05
        17   -31417.6240722893   -31397.5170765738      144.0319336291  20.1069957156   -.31398306E+05 -.31420131E+05
        18   -31419.2821413185   -31397.5159106804      155.9174891646  21.7662306381   -.31398304E+05 -.31421850E+05
        19   -31421.0000230354   -31397.5148513777      168.2307358750  23.4851716577   -.31398303E+05 -.31423646E+05
        20   -31422.7983752703   -31397.5136032775      181.1217674192  25.2847719928   -.31398302E+05 -.31425539E+05
        21   -31424.6980940643   -31397.5127994515      194.7357330124  27.1852946127   -.31398301E+05 -.31427548E+05
        22   -31426.7162754995   -31397.5116923735      209.2004513238  29.2045831260   -.31398301E+05 -.31429687E+05
        23   -31428.8679839015   -31397.5114962046      224.6151348855  31.3564876969   -.31398300E+05 -.31431966E+05
        24   -31431.1607697681   -31397.5112130178      241.0410184131  33.6495567503   -.31398301E+05 -.31434387E+05
        25   -31433.5974643807   -31397.5113783199      258.4945471694  36.0860860607   -.31398301E+05 -.31436949E+05
        26   -31436.1740087068   -31397.5124144625      276.9436197709  38.6615942443   -.31398302E+05 -.31439639E+05
        27   -31438.8784084192   -31397.5136474496      296.3071455746  41.3647609696   -.31398304E+05 -.31442441E+05
        28   -31441.6927414166   -31397.5149100627      316.4579414775  44.1778313539   -.31398306E+05 -.31445333E+05
        29   -31444.5939875237   -31397.5165286651      337.2287698104  47.0774588586   -.31398307E+05 -.31448287E+05
        30   -31447.5547976504   -31397.5188739912      358.4210658570  50.0359236592   -.31398309E+05 -.31451273E+05
        31   -31450.5436550584   -31397.5210129330      379.8157506702  53.0226421253   -.31398311E+05 -.31454260E+05
        32   -31453.5289620612   -31397.5231003403      401.1853721126  56.0058617208   -.31398313E+05 -.31457216E+05
        33   -31456.4793682230   -31397.5249423341      422.3067472083  58.9544258889   -.31398315E+05 -.31460113E+05
        34   -31459.3657397927   -31397.5262451620      442.9732871234  61.8394946307   -.31398316E+05 -.31462923E+05
        35   -31462.1642460776   -31397.5281389911      463.0061903639  64.6361070865   -.31398317E+05 -.31465628E+05
        36   -31464.8534153327   -31397.5289203528      482.2638513343  67.3244949799   -.31398318E+05 -.31468211E+05
        37   -31467.4205361120   -31397.5294524406      500.6490311642  69.8910836714   -.31398318E+05 -.31470666E+05
        38   -31469.8594658812   -31397.5302033812      518.1143758724  72.3292625000   -.31398316E+05 -.31472996E+05
        39   -31472.1747511572   -31397.5339200826      534.6727765515  74.6408310746   -.31398314E+05 -.31475219E+05
        40   -31474.3854629532   -31397.5453997575      550.4264803559  76.8400631957   -.31398313E+05 -.31477364E+05
        41   -31476.5209151622   -31397.5655250782      565.5791479298  78.9553900840   -.31398314E+05 -.31479443E+05
        42   -31478.5958464651   -31397.5835313866      580.3134666953  81.0123150785   -.31398316E+05 -.31481445E+05
        43   -31480.6025159143   -31397.5919876789      594.6272164400  83.0105282354   -.31398314E+05 -.31483369E+05
        44   -31482.5416557069   -31397.6011262265      608.4523455227  84.9405294805   -.31398310E+05 -.31485253E+05
        45   -31484.4439799655   -31397.6233761880      621.9198341615  86.8206037775   -.31398308E+05 -.31487153E+05
        46   -31486.3575828865   -31397.6646027997      635.3321799999  88.6929800867   -.31398310E+05 -.31489104E+05
        47   -31488.3051425626   -31397.7203090213      648.8840459800  90.5848335413   -.31398311E+05 -.31491091E+05
        48   -31490.2622235380   -31397.7173661999      662.9242348478  92.5448573381   -.31398313E+05 -.31493079E+05
        49   -31492.2000435995   -31397.7040157235      676.9010053900  94.4960278759   -.31398315E+05 -.31495040E+05
