      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
      6600   -31404.7213830562   -31194.3118912982     1507.2209881830   -31404.7213830562      210.4094917579      2.78814930
      6650   -31394.3982941920   -31187.9922720105     1478.5430358688   -31394.3982941920      206.4060221816      6.24618848
      6700   -31396.0830177973   -31192.2042995435     1460.4392635931   -31396.0830177973      203.8787182538      5.74253541
      6750   -31403.9806709726   -31189.5363671468     1536.1234553731   -31403.9806709687      214.4443038258      3.88688805
      6800   -31404.2486952435   -31189.4978263914     1538.3194648685   -31404.2486952435      214.7508688520      4.54082235
      6850   -31390.2052357632   -31185.6608278617     1465.2077814020   -31390.2052357600      204.5444079015      5.33583406
      6900   -31396.4208066865   -31183.6170645299     1524.3716614802   -31396.4114335793      212.8037421566      2.48866716
      6950   -31401.3477091933   -31192.9363825392     1492.9075826552   -31401.3477070938      208.4113266541      2.94399963
      7000   -31388.3504711448   -31189.8810746983     1421.6908055663   -31388.3504709145      198.4693964465      2.74927492
      7050   -31404.2578912887   -31191.1627000839     1526.4593910727   -31404.2578912887      213.0951912048      4.45906293
      7100   -31400.1815443734   -31190.3286029128     1503.2342655214   -31400.1815443734      209.8529414607      4.62719998
      7150   -31401.9785971874   -31194.8427009285     1483.7713243786   -31401.9785971874      207.1358962589      4.20826922
      7200   -31407.7374921190   -31191.2986206028     1550.4110916402   -31407.7374921190      216.4388715162      3.26136784
      7250   -31399.4976234048   -31196.1851123406     1456.3833659591   -31399.4976234048      203.3125110642      2.95749910
      7300   -31404.0128101160   -31202.6374772121     1442.5068266611   -31403.9991881383      201.3753329039      3.02019234
      7350   -31411.4995603420   -31196.1175884344     1542.8402294176   -31411.4995603420      215.3819719077      3.10734208
      7400   -31406.2187658555   -31191.2529155968     1539.8594357393   -31406.2187658555      214.9658502587      6.18736011
      7450   -31398.3709378619   -31189.8895062123     1493.4097639956   -31398.3709375578      208.4814316496      2.57248719
      7500   -31398.2883622103   -31185.8109353131     1522.0341756401   -31398.2883622103      212.4774268973      2.49099812
      7550   -31395.9813730541   -31189.9934723541     1475.5479168399   -31395.9813730541      205.9879007000      3.70634710
      7600   -31400.2118618465   -31192.6749794751     1486.6436980515   -31400.2118618450      207.5368823713      3.26420681
      7650   -31403.5802070624   -31192.1412050860     1514.5956526806   -31403.5802070624      211.4390019764      5.45604628
      7700   -31403.8558930086   -31191.8307535391     1518.7943165534   -31403.8558930086      212.0251394695      3.44321391
      7750   -31399.1471931237   -31201.4653926670     1416.0490391420   -31399.1471931237      197.6818004567      3.01701512
      7800   -31404.8938953414   -31194.7929570057     1505.0107352607   -31404.8938952752      210.1009383357      5.14677704
      7850   -31397.4232726714   -31193.7135687917     1459.2285672043   -31397.4232726714      203.7097038798      5.50260586
      7900   -31394.3143400858   -31191.1706125622     1455.1743230934   -31394.3142157153      203.1437275236      2.93363771
      7950   -31399.3816605986   -31188.4746907562     1510.7845603574   -31399.3816605986      210.9069698424      4.39355902
      8000   -31399.3492446366   -31186.4053113527     1525.3758890348   -31399.3492446358      212.9439332838      3.38968657
      8050   -31400.7268427902   -31184.6293290945     1547.9658518020   -31400.7268427902      216.0975136957      5.43802256
      8100   -31404.3924124563   -31194.2848008226     1505.0585379282   -31404.3909515969      210.1076116338      2.73647116
      8150   -31402.6553969572   -31195.1017070143     1486.7640953037   -31402.6553969567      207.5536899429      2.75330298
      8200   -31404.2488993264   -31200.8993737456     1456.6485111090   -31404.2488993264      203.3495255808      3.02371430
      8250   -31406.6515190122   -31194.7265013197     1518.0771167616   -31406.6515190122      211.9250176925      6.25855945
      8300   -31403.5166262203   -31198.5273818803     1468.3942670062   -31403.5166262203      204.9892443400      3.41743097
      8350   -31398.6953713376   -31198.6969660140     1432.6435161662   -31398.6953713376      199.9984053236      3.63054870
      8400   -31403.3519100330   -31192.6506065451     1509.3113157640   -31403.3519100330      210.7013034879      6.10455899
      8450   -31399.1879665808   -31193.8121706967     1471.1632419007   -31399.1879665808      205.3757958841      4.96993344
      8500   -31403.8653417971   -31195.9815135202     1489.1289668780   -31403.8653417971      207.8838282769      3.77608588
      8550   -31403.6500026863   -31199.7032242370     1460.9267974694   -31403.6500026863      203.9467784493      3.41659777
      8600   -31401.8139074166   -31196.3879320793     1471.5226911079   -31401.8139074166      205.4259753373      3.69001554
      8650   -31405.6311324039   -31192.0070918133     1530.2476844968   -31405.6311324039      213.6240405907      6.23938745
      8700   -31407.4996874974   -31194.4398737625     1526.2059725381   -31407.4996874974      213.0598137349      3.96866517
      8750   -31400.4723074680   -31192.3457873529     1490.8674351818   -31400.4723074680      208.1265201152      2.47535975
      8800   -31391.7722068890   -31187.9315679182     1460.1664912284   -31391.7722068890      203.8406389707      4.25430846
      8850   -31400.4021920125   -31190.4903279703     1503.6563441587   -31400.4021842936      209.9118640422      2.27738745
      8900   -31402.6943272595   -31188.8486613058     1531.8352478514   -31402.6943272595      213.8456659537      3.39403272
      8950   -31395.8170311465   -31186.1743474146     1501.7281316531   -31395.8170311465      209.6426837319      6.39585501
      9000   -31395.8191605404   -31194.9741275104     1438.7081429926   -31395.8191605404      200.8450330300      1.91781093
      9050   -31408.4842887511   -31194.8570278732     1530.2707522986   -31408.4842361781      213.6272608779      3.36350502
      9100   -31403.8324126779   -31194.8071391664     1497.3054526438   -31403.8324126779      209.0252735115      3.28179902
      9150   -31396.4722347931   -31195.2463232671     1441.4364802853   -31396.4722347931      201.2259115260      3.35893774
      9200   -31406.9449929589   -31199.7096789958     1484.4834807035   -31406.9449929589      207.2353139631      2.75642633
      9250   -31405.4576660984   -31201.3029739144     1462.4161406643   -31405.4576660984      204.1546921840      3.77280092
      9300   -31404.4219263731   -31198.8176811007     1472.7996876232   -31404.3915968674      205.6042452724      2.60255192
      9350   -31404.0420000695   -31194.0272733738     1504.3931776017   -31404.0420000695      210.0147266957      2.07498211
      9400   -31399.5095254302   -31189.2259984097     1506.3186681669   -31399.5095254302      210.2835270205      4.76649026
      9450   -31397.7197477152   -31189.3844213385     1492.3631717914   -31397.7197429117      208.3353263767      3.12112261
      9500   -31400.0638016972   -31184.3394582521     1545.2927307885   -31400.0638013044      215.7243434451      2.20812000
      9550   -31394.6422329307   -31187.7892073383     1481.7450440909   -31394.6422329307      206.8530255924      3.27982382
      9600   -31396.1536205421   -31184.1583283135     1518.5805125678   -31396.1536205421      211.9952922286      4.93898387
      9650   -31400.8628577014   -31186.5662115535     1535.0657428649   -31400.8628577014      214.2966461478      2.94712887
      9700   -31404.5874489184   -31195.7542692881     1495.9294314053   -31404.5874184228      208.8331796303      2.40423580
      9750   -31402.2426367304   -31196.6853643191     1472.4632081162   -31402.2426354802      205.5572724113      3.37976751
      9800   -31400.0720298719   -31202.6841917113     1413.9433064642   -31400.0720298719      197.3878381606      3.11236517
      9850   -31402.0628898303   -31194.5729540603     1486.3074066496   -31402.0628898303      207.4899357699      5.37465548
      9900   -31403.8843066469   -31196.9297373207     1482.4724297498   -31403.8843066469      206.9545693262      2.90658797
      9950   -31407.2992492278   -31199.6379512706     1487.5349210694   -31407.2992492278      207.6612979572      3.79800503
     10000   -31400.0246976225   -31196.3600386089     1458.9058984546   -31400.0246976225      203.6646590136      5.61961886
     10050   -31398.7952280704   -31197.3356373085     1443.1103888426   -31398.7952280704      201.4595907618      4.41799895
     10100   -31409.7908431505   -31199.7172728039     1504.8146908373   -31409.7545651847      210.0735703466      2.67368754
     10150   -31402.5896270917   -31195.5807592149     1482.8613851838   -31402.5896270917      207.0088678769      3.29186031
     10200   -31401.9731689105   -31192.8825362412     1497.7736382454   -31401.9731688983      209.0906326693      4.19196058
     10250   -31398.4082209341   -31190.7368482195     1487.6070893236   -31398.4082209341      207.6713727145      2.23160848
     10300   -31404.8205462715   -31193.1702543781     1516.1091803967   -31404.8152131188      211.6502918934      3.14209822
     10350   -31400.4469063022   -31191.8664267960     1494.1192710005   -31400.4469063022      208.5804795062      2.89974783
     10400   -31402.9460104885   -31192.6688169046     1506.2733000204   -31402.9460104885      210.2771935839      3.90014210
     10450   -31391.1557235371   -31185.1108725553     1475.9558673524   -31391.1557235371      206.0448509818      4.82902321
     10500   -31400.1980287405   -31188.5981201110     1515.7482712365   -31400.1980287405      211.5999086294      4.83724173
     10550   -31395.2386460822   -31186.0279228853     1498.6338796825   -31395.2386460822      209.2107231968      4.85487101
     10600   -31397.2420942854   -31184.8189854165     1521.6450806823   -31397.2420942854      212.4231088689      4.87268823
     10650   -31399.4809913145   -31190.4737890702     1497.1760031934   -31399.4809913145      209.0072022444      4.04953228
     10700   -31402.5207020551   -31198.8951635432     1458.6256675541   -31402.5207020551      203.6255385119      3.57617675
     10750   -31402.9530004717   -31197.5728517727     1471.1944223098   -31402.9530004717      205.3801486990      3.06672574
     10800   -31404.4162166121   -31195.2033273720     1498.6493956452   -31404.4162147619      209.2128892401      3.87589890
     10850   -31399.1700452967   -31190.2704327841     1496.4053083899   -31399.1700452954      208.8996125125      2.63733728
     10900   -31396.2559651836   -31186.9232244115     1499.5079250916   -31396.2559651836      209.3327407721      4.99740283
     10950   -31395.9484654503   -31189.4934833020     1478.8937495594   -31395.9484654503      206.4549821483      3.05672890
     11000   -31395.5512573621   -31191.0204892620     1465.1100757582   -31395.5512573621      204.5307681001      3.96754676
     11050   -31403.6525769611   -31192.6342169962     1511.5824784037   -31403.6525769611      211.0183599650      4.08407187
     11100   -31400.8258281751   -31188.5404196523     1520.6586952772   -31400.8258281751      212.2854085228      6.15018956
     11150   -31398.7705255500   -31189.3190447984     1500.3584921827   -31398.7705255500      209.4514807516      3.91005478
     11200   -31399.0088516567   -31187.2645194808     1516.7828167723   -31399.0088516567      211.7443321759      5.91975886
     11250   -31397.1956738404   -31189.6289606826     1486.8573841696   -31397.1956738404      207.5667131579      4.80159838
     11300   -31397.6664526955   -31192.5811666489     1469.0822401333   -31397.6664522903      205.0852860467      2.49699796
     11350   -31402.4280379434   -31187.3484639273     1540.6740702528   -31402.4280379434      215.0795740161      3.98681431
     11400   -31391.3747537666   -31186.0973154083     1470.4586799254   -31391.3747537665      205.2774383584      2.94190171
