      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
        42        3.3861341799        4.4184692184     3993.2457080378        3.3861341799        1.0323350385      0.79104126
        43        3.1579584657        4.4175047758     4872.1371545166        3.1579584657        1.2595463101      1.42046043
        44        2.9217166549        4.4165884335     5782.4156801807        2.9217166549        1.4948717785      1.99185349
        45        2.6933464205        4.4157356525     6662.4914896413        2.6933464205        1.7223892320      1.98307905
        46        2.4876316021        4.4149727967     7455.2801813484        2.4876316021        1.9273411945      1.94393233
        47        2.3177378428        4.4143364892     8109.9964972401        2.3177378428        2.0965986464      1.86711250
        48        2.1946421942        4.4138682939     8584.3401292747        2.1946421942        2.2192260997      1.98101933
        49        2.1265182626        4.4136041747     8846.8333068408        2.1265182626        2.2870859121      1.97631972
        50        2.1181902990        4.4135717883     8878.9219960236        2.1181902990        2.2953814893      1.93134472
        51        2.1707406664        4.4137839660     8676.4690678431        2.1707406664        2.2430432996      1.97089175
        52        2.2813478836        4.4142342698     8250.3635834908        2.2813478836        2.1328863862      1.99833392
        53        2.4433999387        4.4148994328     7626.0919172308        2.4433999387        1.9714994940      1.98362179
        54        2.6468819487        4.4157387421     6842.2358391551        2.6468819487        1.7688567934      2.00602195
        55        2.8790256426        4.4166966050     5947.9701279969        2.8790256426        1.5376709624      2.00258546
        56        3.1251775079        4.4177076906     4999.7243261880        3.1251775079        1.2925301827      3.97616706
        57        3.3698207332        4.4187014999     4057.2473699935        3.3698207332        1.0488807667      4.13873762
        58        3.5976766935        4.4196080481     3179.3688404168        3.5976766935        0.8219313546      4.16849216
        59        3.7947992131        4.4203623312     2419.7834455383        3.7947992131        0.6255631181      4.08416393
        60        3.9495789874        4.4209112167     1823.1924051523        3.9495789874        0.4713322293      4.16969124
        61        4.0535719572        4.4212170337     1422.1130440657        4.0535719572        0.3676450766      4.04180087
        62        4.1020883874        4.4212614742     1234.6152281578        4.1020883874        0.3191730868      4.32211659
        63        4.0944914001        4.4210447368     1263.1632771684        4.0944914001        0.3265533367      4.18824462
        64        4.0341924445        4.4205880977     1494.6434306240        4.0341924445        0.3863956531      3.72520421
        65        3.9283385259        4.4199284935     1901.5527472206        3.9283385259        0.4915899677      4.10568023
        66        3.7872374719        4.4191204172     2444.2296010431        3.7872374719        0.6318829453      4.10614544
        67        3.6235487496        4.4182218444     3073.9293026736        3.6235487496        0.7946730948      3.96985119
        68        3.4513409151        4.4173009906     3736.4961781025        3.4513409151        0.9659600755      4.30287183
        69        3.2850468834        4.4164234392     4376.3549692111        3.2850468834        1.1313765558      3.79245320
        70        3.1384221166        4.4156510837     4940.5366486459        3.1384221166        1.2772289672      4.11243606
        71        3.0235622134        4.4150379866     5382.4625259733        3.0235622134        1.3914757731      3.86073473
        72        2.9500486537        4.4146264579     5665.2334878288        2.9500486537        1.4645778042      4.13732008
        73        2.9242791927        4.4144436137     5764.2068288253        2.9242791927        1.4901644210      4.19212060
        74        2.9490293297        4.4145008433     5668.6905063687        2.9490293297        1.4654715136      4.26188246
        75        3.0232701952        4.4147925223     5382.6426046095        3.0232701952        1.3915223271      3.91347587
        76        3.1422571440        4.4152963410     4924.3299123716        3.1422571440        1.2730391970      4.17137111
        77        3.2978834849        4.4159760004     4324.9700652008        3.2978834849        1.1180925155      4.00097009
        78        3.4792685940        4.4167801116     3626.4523671083        3.4792685940        0.9375115176      4.29827856
        79        3.6735521772        4.4176505675     2878.2978322896        3.6735521772        0.7440983903      4.29344074
        80        3.8668229959        4.4185244919     2134.0742577659        3.8668229959        0.5517014960      4.30031880
        81        4.0451244802        4.4193384891     1447.5227801504        4.0451244802        0.3742140089      4.30414948
        82        4.1954637320        4.4200337465      868.6746192357        4.1954637320        0.2245700145      4.26790561
        83        4.3067479429        4.4205586392      440.2389314829        4.3067479429        0.1138106962      4.21405739
        84        4.3705881465        4.4208766304      194.5243211666        4.3705881465        0.0502884839      4.14560276
        85        4.3818975577        4.4209648516      151.1188693389        4.3818975577        0.0390672939      4.15201496
        86        4.3392539416        4.4208168909      315.4992176827        4.3392539416        0.0815629493      4.29064487
        87        4.2449947655        4.4204453025      678.6722114902        4.2449947655        0.1754505369      4.24441164
        88        4.1050315477        4.4198776855     1217.8778607652        4.1050315477        0.3148461377      4.13001157
        89        3.9284070455        4.4191574106     1898.3050232519        3.9284070455        0.4907503651      4.32237435
        90        3.7266170381        4.4183390061     2675.6970138568        3.7266170381        0.6917219680      4.18897082
        91        3.5127506934        4.4174834736     3499.6586930755        3.5127506934        0.9047327802      4.24864137
        92        3.3005144945        4.4166562717     4317.4242808952        3.3005144945        1.1161417772      4.04766967
        93        3.1032043030        4.4159212813     5077.8102496387        3.1032043030        1.3127169783      3.80599554
        94        2.9327049323        4.4153350239     5735.0627743455        2.9327049323        1.4826300916      4.20403556
        95        2.7985949552        4.4149453530     6252.3154287218        2.7985949552        1.6163503978      4.25213101
        96        2.7074122163        4.4147834476     6604.3993345948        2.7074122163        1.7073712313      4.27067192
        97        2.6621516554        4.4148655229     6779.7922845962        2.6621516554        1.7527138676      4.15035063
        98        2.6620211822        4.4151898596     6781.5515656951        2.6620211822        1.7531686774      3.97703979
        99        2.7024835159        4.4157343736     6627.1427195368        2.7024835159        1.7132508577      4.14702598
       100        2.7755940148        4.4164608135     6347.1489944853        2.7755940148        1.6408667987      4.11196943
       101        2.8706069810        4.4173133182     5982.9204786240        2.8706069810        1.5467063372      4.05695903
       102        2.9748299273        4.4182252815     5583.2962052760        2.9748299273        1.4433953541      4.16657506
       103        3.0746579159        4.4191201764     5200.6063449918        3.0746579159        1.3444622605      4.23994227
       104        3.1567291422        4.4199197384     4886.2338664762        3.1567291422        1.2631905962      4.11336964
       105        3.2091036922        4.4205507892     4686.0813016291        3.2091036922        1.2114470971      4.01960918
       106        3.2223620435        4.4209495595     4636.3382773851        3.2223620435        1.1985875160      4.27671996
       107        3.1905274120        4.4210743762     4759.9628025758        3.1905274120        1.2305469641      4.24938867
       108        3.1116928807        4.4209058159     5064.2560211079        3.1116928807        1.3092129352      4.11547176
       109        2.9882970608        4.4204518521     5539.8158158043        2.9882970608        1.4321547912      1.92329830
       110        2.8270022984        4.4197469982     6161.0046147916        2.8270022984        1.5927446997      1.98237393
       111        2.6381879822        4.4188463375     6887.8862674460        2.6381879822        1.7806583553      2.00214290
       112        2.4351232130        4.4178219549     7669.4124933150        2.4351232130        1.9826987419      1.99267495
       113        2.2329003130        4.4167521288     8447.5064446850        2.2329003130        2.1838518159      2.01500106
       114        2.0472515966        4.4157163658     9161.6204250718        2.0472515966        2.3684647692      1.99289411
       115        1.8933514228        4.4147878453     9753.3405306925        1.8933514228        2.5214364225      1.98497996
       116        1.7846994262        4.4140225046    10170.6642772082        1.7846994262        2.6293230784      1.99043125
       117        1.7321834952        4.4134716485    10371.6739347084        1.7321834952        2.6812881534      1.93987402
       118        1.7433066674        4.4131642135    10327.4584217771        1.7433066674        2.6698575462      1.94659504
       119        1.8216450528        4.4131254419    10024.2823846259        1.8216450528        2.5914803891      1.99130624
       120        1.9664451559        4.4133748408     9465.1359276945        1.9664451559        2.4469296849      1.95273125
       121        2.1723271807        4.4139221648     8670.8667394043        2.1723271807        2.2415949840      1.98443647
       122        2.4290878010        4.4147819820     7680.9993559200        2.4290878010        1.9856941810      1.98841079
       123        2.7216063396        4.4159467174     6553.9938000853        2.7216063396        1.6943403779      2.00502305
       124        3.0301207840        4.4173644038     5366.0918443453        3.0301207840        1.3872436198      1.94455820
reaction occured at step 124 between IDs 1 and 3
       125        2.9395660367        4.2810202156     5188.9705787600        2.9395660367        1.3414541788      0.82727512
       126        2.7520509388        4.2802620801     5911.3779474413        2.7520509388        1.5282111413      1.41463819
       127        2.5678074147        4.2796462401     6621.6807407717        2.5678074147        1.7118388254      1.97180328
       128        2.3985842512        4.2791520301     7274.3527359138        2.3985842512        1.8805677789      1.97362887
       129        2.2541043896        4.2787638479     7831.7236077986        2.2541043896        2.0246594583      1.98058625
       130        2.1421884328        4.2784864895     8263.5604995505        2.1421884328        2.1362980568      1.99927102
       131        2.0687055160        4.2783323547     8547.2085719011        2.0687055160        2.2096268387      1.94942234
       132        2.0374013115        4.2783146512     8668.2300245921        2.0374013115        2.2409133397      1.97578096
       133        2.0496938687        4.2784475774     8621.1945248575        2.0496938687        2.2287537087      1.99272973
       134        2.1045168635        4.2787349892     8410.2417094188        2.1045168635        2.1742181257      1.99010333
       135        2.1983038592        4.2791667493     8049.1279431578        2.1983038592        2.0808628901      1.99486880
       136        2.3251545845        4.2797221964     7560.5965470527        2.3251545845        1.9545676119      1.98080276
       137        2.4771815255        4.2803683209     6975.0300658961        2.4771815255        1.8031867954      2.01365746
       138        2.6450315836        4.2810628571     6328.4443690690        2.6450315836        1.6360312735      1.96490737
       139        2.8185405430        4.2817563011     5659.9648645825        2.8185405430        1.4632157582      1.92903154
       140        2.9874760595        4.2824004194     5008.9854064761        2.9874760595        1.2949243599      3.89873981
