      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
        55        2.8837106781        4.1232023197     4794.5623207014        2.8837122486        1.2394916416      2.13275971
        56        2.7270057053        4.1225119769     5398.0531723022        2.7270059114        1.3955062715      2.12937606
        57        2.6110073913        4.1220126621     5844.8227441126        2.6110074119        1.5110052708      2.14837483
        58        2.5437974635        4.1217403364     6103.7486570281        2.5437974651        1.5779428729      2.15456979
        59        2.5298676195        4.1217132797     6157.5269788577        2.5298676196        1.5918456603      2.08893167
        60        2.5698060697        4.1219357526     6003.8988927099        2.5698060697        1.5521296829      2.07529416
        61        2.6602471917        4.1223930121     5655.8261653697        2.6602471917        1.4621458205      4.27772963
        62        2.7941030959        4.1230538355     5140.6051708424        2.7941030959        1.3289507395      4.11874599
        63        2.9610547097        4.1238741297     4497.9812612151        2.9610547097        1.1628194201      4.58951198
        64        3.1482637550        4.1247957183     3777.3900195224        3.1482637550        0.9765319633      3.75512010
        65        3.3412744780        4.1257564137     3034.5081837027        3.3412744780        0.7844819357      3.43658479
        66        3.5250221583        4.1266873258     2327.3421495732        3.5250221583        0.6016651674      3.29488444
        67        3.6849060564        4.1275223845     1712.1144652317        3.6849060564        0.4426163281      3.44426047
        68        3.8078352802        4.1282007521     1239.2275744582        3.8078352802        0.3203654719      3.50031745
        69        3.8831833462        4.1286709992      949.5875661059        3.8831833462        0.2454876530      3.22065291
        70        3.9035820820        4.1288972768      871.5571021757        3.9035820820        0.2253151948      3.11236197
        71        3.8654857948        4.1288593631     1018.7732975093        3.8654857948        0.2633735683      3.56137650
        72        3.7694695044        4.1285571267     1389.0113707171        3.7694695044        0.3590876224      2.98408980
        73        3.6202254656        4.1280107448     1964.1989386033        3.6202254656        0.5077852792      2.66873750
        74        3.4262541623        4.1272563257     2711.5943721218        3.4262541623        0.7010021634      3.01776130
        75        3.1992816286        4.1263469543     3586.0447383632        3.1992816286        0.9270653257      2.64198495
        76        2.9534358491        4.1253462180     4533.1465816105        2.9534358491        1.1719103689      3.14041220
        77        2.7042562603        4.1243231069     5493.0576113516        2.7042562603        1.4200668467      0.84304676
        78        2.4676137370        4.1233473458     6404.6563181797        2.4676137371        1.6557336087      1.95790084
        79        2.2586219486        4.1224817815     7209.7235883214        2.2586219491        1.8638598329      2.07993954
        80        2.0906313361        4.1217801875     7856.8256727882        2.0906313548        2.0311488514      2.14120279
        81        1.9743717755        4.1212827273     8304.6129639211        1.9743723705        2.1469109518      2.11206356
        82        1.9172995595        4.1210201233     8524.3621061896        1.9173129524        2.2037205638      2.17643834
