      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
        23        3.7692099089        4.4441277217     2610.6957130857        3.7956309204        0.6749178128      0.25073279
        24        3.7956309204        4.5173871635     2791.8746460579        3.7486218856        0.7217562431      0.26653614
        25        3.7486218856        4.5876793429     3245.6154884196        3.6307793945        0.8390574573      0.26384072
        26        3.6307793945        4.6493934990     3940.1708255292        3.4503553288        1.0186141045      0.22131570
        27        3.4503553288        4.6976060904     4824.5759031864        3.2205947596        1.2472507616      0.21278882
        28        3.2205947596        4.7284646674     5832.6946320636        2.9586835576        1.5078699078      0.22711628
        29        2.9586835576        4.7394672603     6888.3711322448        2.6844074680        1.7807837027      0.22060368
        30        2.6844074680        4.7296140786     7911.2034517932        2.4186494669        2.0452066106      0.22215620
        31        2.4186494669        4.6994314941     8822.4488190254        2.1818604031        2.2807820272      0.22919259
        32        2.1818604031        4.6508875821     9550.6127548319        1.9926034602        2.4690271791      0.22929265
        33        1.9926034602        4.5872037626    10036.3507343724        1.8662830525        2.5946003024      0.22747054
        34        1.8662830525        4.5126025905    10236.4094437235        1.8141246002        2.6463195380      0.22643227
        35        1.8141246002        4.4320171717    10126.4491520850        1.8424458862        2.6178925715      0.22797640
        36        1.8424458862        4.3507932444     9702.7098267508        1.9522256474        2.5083473582      0.22113743
        37        1.9522256474        4.2744080414     8982.5924069501        2.1389597691        2.3221823940      0.22708283
        38        2.1389597691        4.2082310374     8004.2895988366        2.3927555973        2.0692712683      0.22671346
        39        2.3927555973        4.1573037119     6825.5691442775        2.6986455609        1.7645481146      0.22706505
        40        2.6986455609        4.1261034275     5521.6473206095        3.0371386729        1.4274578666      0.22906728
        41        3.0371386729        4.1182223894     4181.8138009450        3.3850749208        1.0810837165      0.22737349
        42        3.3850749208        4.1358748498     2904.2205117086        3.7169605741        0.7507999289      0.22742129
        43        3.3874215118        4.3295314277     3644.2397457534        4.0719925543        0.9421099159      0.22770280
reaction occured at step 42 between IDs 1 and 2
        44        3.2080522271        4.3515893227     4423.3939845997        3.0057683277        1.1435370957      0.10646145
        45        3.0057683277        4.3568135590     5226.0703842489        2.7974236505        1.3510452313      0.22846291
        46        2.7974236505        4.3478055136     5997.1380319125        2.5973031361        1.5503818632      0.22742486
        47        2.5973031361        4.3255097347     6684.9940426329        2.4187803276        1.7282065985      0.22167921
        48        2.4187803276        4.2914457711     7243.7851726306        2.2737470894        1.8726654435      0.22727224
        49        2.2737470894        4.2477384981     7635.7310630496        2.1720068443        1.9739914088      0.21913297
        50        2.1720068443        4.1970859236     7833.3467725476        2.1206963509        2.0250790793      0.22874267
        51        2.1206963509        4.1426569916     7821.2841268958        2.1238063368        2.0219606407      0.22828013
        52        2.1238063368        4.0879216826     7597.5287890589        2.1818657469        1.9641153458      0.22945453
        53        2.1818657469        4.0364284408     7173.7606896280        2.2918443236        1.8545626939      0.22808473
        54        2.2918443236        3.9915577557     6574.7776783187        2.4473087941        1.6997134321      0.22421315
        55        2.4473087941        3.9562855902     5836.9762624415        2.6388113746        1.5089767961      0.22837724
        56        2.6388113746        3.9329564653     5005.9710619270        2.8545078715        1.2941450907      0.22970979
        57        2.8545078715        3.9231044632     4133.5114999794        3.0809619681        1.0685965917      0.26324753
        58        3.0809619681        3.9273352810     3273.9144492461        3.3040691814        0.8463733129      0.25992251
        59        3.3040691814        3.9452705967     2480.2750117216        3.5100417406        0.6412014153      0.26006428
        60        3.5100417406        3.9755696218     1800.7402094243        3.6863771188        0.4655278812      0.26459201
        61        3.6863771188        4.0160240667     1275.1298860798        3.8227349480        0.3296469479      0.26611532
        62        3.8227349480        4.0637184485      932.1647464736        3.9116584939        0.2409835006      0.26609090
        63        3.9116584939        4.1152466595      787.5132959208        3.9490808467        0.2035881656      0.26766616
        64        3.9490808467        4.1669622579      842.8019757995        3.9345834524        0.2178814112      0.26124823
        65        3.9345834524        4.2152467588     1085.6529151542        3.8713833084        0.2806633065      0.26689930
        66        3.8713833084        4.2567674208     1490.7306211298        3.7660635651        0.3853841125      0.26421102
        67        3.7660635651        4.2887145336     2021.7019269381        3.6280624925        0.5226509684      0.26674901
        68        3.6280624925        4.3089919230     2633.9496624048        3.4689680251        0.6809294306      0.25704184
        69        3.4689680251        4.3163544701     3277.8334147872        3.3016715345        0.8473864450      0.26617885
        70        3.3016715345        4.3104852259     3902.2611780651        3.1394418242        1.0088136914      0.26756142
        71        3.1394418242        4.2920086683     4458.3225713115        2.9949785433        1.1525668440      0.26678338
        72        2.9949785433        4.2624353140     4902.7361477161        2.8795206933        1.2674567707      0.26447808
        73        2.8795206933        4.2240534488     5200.8790316235        2.8020579090        1.3445327555      0.26668129
        74        2.8020579090        4.1797631610     5329.1958320639        2.7687060753        1.3777052520      0.25742894
        75        2.7687060753        4.1328723079     5276.8246259250        2.7822853728        1.3641662326      0.26645383
        76        2.7822853728        4.0868638356     5046.3291016901        2.8421288187        1.3045784628      0.26385705
        77        2.8421288187        4.0451491827     4653.4852796416        2.9441398103        1.2030203640      0.26641857
        78        2.9441398103        4.0108295148     4126.1353393854        3.0810876885        1.0666897045      0.26644207
        79        3.0810876885        3.9864737949     3502.1858689469        3.2431278872        0.9053861065      0.26490632
        80        3.2431278872        3.9739359589     2826.8886425902        3.4185099917        0.7308080717      0.26594737
        81        3.4185099917        3.9742238092     2149.5945929837        3.5944164869        0.5557138176      0.26699861
        82        3.5944164869        3.9874219850     1520.2114237826        3.7578885603        0.3930054981      0.22351478
        83        3.7578885603        4.0126911058      985.6191385113        3.8967507709        0.2548025455      0.22725300
