      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
       136        2.3210236383        4.3164272703     7718.5571467000        2.3210236383        1.9954036319      2.53099501
       137        2.4705980664        4.3170640637     7142.4413042398        2.4705980664        1.8464659973      2.55059027
       138        2.6384057244        4.3177612247     6496.0297711935        2.6384057244        1.6793555003      2.55238671
       139        2.8142444387        4.3184707495     5818.6005856466        2.8142444387        1.5042263108      2.50345664
       140        2.9876537068        4.3191402916     5150.4142474040        2.9876537068        1.3314865849      4.76043173
       141        3.1486963476        4.3197235402     4529.7303071211        3.1486963476        1.1710271926      4.90243325
       142        3.2886953870        4.3201774968     3989.9464365798        3.2886953870        1.0314821099      4.91640029
       143        3.4008835802        4.3204703483     3557.1164186691        3.4008835802        0.9195867681      4.92575595
       144        3.4808905720        4.3205833387     3248.0729721490        3.4808905720        0.8396927667      4.83990472
       145        3.5270307153        4.3205133387     3069.3243592039        3.5270307153        0.7934826234      4.95946169
       146        3.5403630030        4.3202713002     3016.8165802692        3.5403630030        0.7799082972      4.92007149
       147        3.5245296760        4.3198843018     3076.5655791659        3.5245296760        0.7953546257      4.93078258
       148        3.4853804853        4.3193874548     3226.0793515901        3.4853804853        0.8340069695      4.52560556
       149        3.4304374844        4.3188218378     3436.4202260553        3.4304374844        0.8883843534      4.93514729
       150        3.3682509175        4.3182380642     3674.7102005978        3.3682509175        0.9499871467      4.92843554
       151        3.3076763821        4.3176786600     3906.8588307314        3.3076763821        1.0100022779      4.73431139
       152        3.2571774508        4.3171862479     4100.2924650055        3.2571774508        1.0600087971      4.95403781
       153        3.2241680941        4.3167988712     4226.4797750021        3.2241680941        1.0926307771      4.93011177
       154        3.2144500650        4.3165418507     4263.0765489493        3.2144500650        1.1020917857      4.78052722
       155        3.2317979199        4.3164325692     4195.5494064126        3.2317979199        1.0846346493      4.84119786
       156        3.2776925009        4.3164734881     4018.1797227372        3.2776925009        1.0387809872      4.90807700
       157        3.3512445894        4.3166612306     3734.3940825811        3.3512445894        0.9654166412      4.79475874
       158        3.4492782661        4.3169793960     3356.4140358321        3.4492782661        0.8677011299      4.88755635
       159        3.5665898203        4.3174009275     2904.2637511785        3.5665898203        0.7508111072      4.76826139
       160        3.6963535739        4.3178924475     2404.2169906018        3.6963535739        0.6215388736      4.74640295
       161        3.8306409741        4.3184175550     1886.8019253240        3.8306409741        0.4877765809      4.76669340
       162        3.9610124555        4.3189367373     1384.5113734873        3.9610124555        0.3579242818      4.90541950
       163        4.0791449257        4.3194098158      929.3850401318        4.0791449257        0.2402648901      4.95268369
       164        4.1774514359        4.3198025054      550.6378996404        4.1774514359        0.1423510695      4.85416738
       165        4.2496387738        4.3200866565      272.5042689425        4.2496387738        0.0704478826      4.18268543
       166        4.2911672070        4.3202380348      112.4508554343        4.2911672070        0.0290708278      4.78210432
       167        4.2995951791        4.3202471498       79.8852991932        4.2995951791        0.0206519707      4.86263490
       168        4.2747548573        4.3201125200      175.4510744480        4.2747548573        0.0453576626      4.75574627
       169        4.2187738173        4.3198443487      390.9578295743        4.2187738173        0.1010705315      4.87080465
       170        4.1359217789        4.3194585561      709.9511501225        4.1359217789        0.1835367772      4.82797583
       171        4.0323175953        4.3189856823     1108.8804171106        4.0323175953        0.2866680870      4.87309710
       172        3.9154821827        4.3184587097     1558.7810422338        3.9154821827        0.4029765271      4.85026923
       173        3.7938037308        4.3179150850     2027.3509445703        3.7938037308        0.5241113541      4.87933036
       174        3.6759342200        4.3173936882     2481.2732037237        3.6759342200        0.6414594682      4.81834684
       175        3.5701662233        4.3169329159     2888.6192743912        3.5701662233        0.7467666925      4.89911945
       176        3.4838326397        4.3165682046     3221.1613441264        3.4838326397        0.8327355648      4.71000605
       177        3.4227652272        4.3163221790     3456.4287075716        3.4227652272        0.8935569518      4.80397515
       178        3.3908806186        4.3162180572     3579.3609802285        3.3908806186        0.9253374386      4.88097334
       179        3.3898705904        4.3162623243     3583.4391720131        3.3898705904        0.9263917339      4.87506377
       180        3.4190743411        4.3164531057     3471.2121228532        3.4190743411        0.8973787647      4.89978185
       181        3.4755077893        4.3167787784     3254.1778017670        3.4755077893        0.8412709890      4.91906971
       182        3.5540589789        4.3172169528     2952.0235102207        3.5540589789        0.7631579739      4.96898211
       183        3.6478421207        4.3177387883     2591.2730778251        3.6478421207        0.6698966675      4.95674826
       184        3.7486737314        4.3183050482     2203.4298229163        3.7486737314        0.5696313168      4.87047733
       185        3.8476629890        4.3188780046     1822.7390025444        3.8476629890        0.4712150155      4.85091849
       186        3.9358415581        4.3194135117     1483.7208852355        3.9358415581        0.3835719535      4.92241056
       187        4.0048292219        4.3198734466     1218.6440947405        4.0048292219        0.3150442248      4.90044443
       188        4.0474529240        4.3202221856     1055.1174209028        4.0474529240        0.2727692616      4.61288016
       189        4.0582976068        4.3204309733     1013.9759881799        4.0582976068        0.2621333665      4.71092448
       190        4.0341403074        4.3204834211     1107.6233657025        4.0341403074        0.2863431137      4.90475557
       191        3.9742213622        4.3203708216     1338.9643783511        3.9742213622        0.3461494594      4.90575153
       192        3.8803486464        4.3200978532     1701.0239575319        3.8803486464        0.4397492068      4.69779447
       193        3.7568077350        4.3196832077     2177.2970806282        3.7568077350        0.5628754727      4.76418676
       194        3.6100819153        4.3191559664     2742.8177925551        3.6100819153        0.7090740511      4.53778945
       195        3.4484038762        4.3185512847     3365.8766532375        3.4484038762        0.8701474085      4.74360712
       196        3.2811783722        4.3179124244     4010.2618334807        3.2811783722        1.0367340522      4.74982457
       197        3.1183067138        4.3172865490     4637.8558337258        3.1183067138        1.1989798351      4.81386644
       198        2.9694656341        4.3167161263     5211.3916946245        2.9694656341        1.3472504922      4.89382668
       199        2.8434114668        4.3162430979     5697.1606799418        2.8434114668        1.4728316312      4.92709539
       200        2.7473376994        4.3159015048     6067.4688452818        2.7473376994        1.5685638054      4.99638585
       201        2.6863481786        4.3157139740     6302.6611777701        2.6863481786        1.6293657954      4.81290744
       202        2.6630870775        4.3156949240     6392.5653437369        2.6630870775        1.6526078465      5.01887495
       203        2.6775344916        4.3158425133     6337.2512144967        2.6775344916        1.6383080218      4.97512171
       204        2.7270090517        4.3161468183     6147.0523901592        2.7270090517        1.5891377665      1.01395598
       205        2.8063473660        4.3165840648     5841.8497782162        2.8063473660        1.5102366988      2.29562819
       206        2.9082719583        4.3171224218     5449.6707533756        2.9082719583        1.4088504636      2.18892734
       207        3.0239036972        4.3177219720     5004.7068829601        3.0239036972        1.2938182747      2.02995667
       208        3.1433920794        4.3183400930     4544.8967026885        3.1433920794        1.1749480136      2.34176327
       209        3.2566045487        4.3189298466     4109.2530798818        3.2566045487        1.0623252979      2.61869325
       210        3.3538425702        4.3194507020     3735.1348002573        3.3538425702        0.9656081318      2.73624181
       211        3.4265062214        4.3198663970     3455.6675438796        3.4265062214        0.8933601756      2.78075403
       212        3.4676769657        4.3201495244     3297.5073590228        3.4676769657        0.8524725587      2.72073175
       213        3.4725662051        4.3202824594     3279.1091730792        3.4725662051        0.8477162544      2.74058735
       214        3.4388038416        4.3202587641     3409.6160205837        3.4388038416        0.8814549224      2.74338821
       215        3.3665518631        4.3200848139     3688.4259673290        3.3665518631        0.9535329507      2.66834449
       216        3.2584378379        4.3197754664     4105.4326082964        3.2584378379        1.0613376285      2.75234774
       217        3.1193298253        4.3193509096     4641.8835610376        3.1193298253        1.2000210843      2.68375817
       218        2.9559856765        4.3188452303     5271.7701722018        2.9559856765        1.3628595537      2.74380364
       219        2.7765691941        4.3182945176     5963.6530794071        2.7765691941        1.5417253235      2.74380364
       220        2.5900866671        4.3177336657     6682.8294157188        2.5900866671        1.7276469986      2.67277255
       221        2.4057766149        4.3172079681     7393.7382370642        2.4057766149        1.9114313532      2.67919463
       222        2.2324438618        4.3167551020     8062.4667416124        2.2324438618        2.0843112402      2.76020920
       223        2.0778423298        4.3164123304     8659.1655941216        2.0778423298        2.2385700006      2.64584285
       224        1.9481214673        4.3162027588     9160.1370687481        1.9481214673        2.3680812915      2.75224323
       225        1.8474379543        4.3161409367     9549.3587075168        1.8474379543        2.4687029824      2.72216237
       226        1.7777458281        4.3162245310     9819.2629401930        1.7777458281        2.5384787029      2.67899657
       227        1.7388088636        4.3164359277     9970.6953915429        1.7388088636        2.5776270641      2.75328875
       228        1.7284230635        4.3167512167    10012.0890052081        1.7284230635        2.5883281531      2.74421919
       229        1.7427923497        4.3171336364     9957.9854513873        1.7427923497        2.5743412867      2.72502813
       230        1.7770409482        4.3175448272     9827.0966623807        1.7770409482        2.5405038790      2.74494672
       231        1.8257762635        4.3179448698     9640.1276908339        1.8257762635        2.4921686063      2.75789852
       232        1.8836621618        4.3182991883     9417.5858553680        1.8836621618        2.4346370264      2.73675842
       233        1.9459325019        4.3185769608     9177.7881685227        1.9459325019        2.3726444589      2.75611565
       234        2.0088166521        4.3187603662     8935.2511326836        2.0088166521        2.3099437140      2.76136599
       235        2.0698163520        4.3188405633     8699.6042409413        2.0698163520        2.2490242113      2.50926371
