      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0   -31400.0442482494   -31190.6428133494     1500.0000000000   -31400.0442482494      209.4014349000      0.00000000
        50   -31398.6518930961   -31193.7662711922     1467.6519910315   -31398.6414116676      204.8856219039      3.25629563
       100   -31409.6513993393   -31200.0388137501     1501.5125303895   -31409.6513993393      209.6125855893      2.65607542
       150   -31409.1769804240   -31204.7205073567     1464.5778800292   -31409.1769804240      204.4564730673      2.90266043
       200   -31404.1199979873   -31198.6413314689     1471.9001325124   -31404.1199979873      205.4786665184      4.63009686
       250   -31403.5672996065   -31197.1016622178     1478.9700759734   -31403.5672996065      206.4656373887      4.59195334
       300   -31401.5096223935   -31196.9440525670     1465.3593700845   -31401.5096223935      204.5655698266      3.21856594
       350   -31403.5955886693   -31194.8223374255     1495.5001479114   -31403.5955886693      208.7732512439      4.75759311
       400   -31405.0048919903   -31195.3165304017     1502.0553346878   -31405.0048755162      209.6883615885      2.72817758
       450   -31406.3597919735   -31199.8182777353     1479.5136026897   -31406.3597919138      206.5415142382      2.46589994
       500   -31408.5299800343   -31198.4415543312     1504.9211038360   -31408.5299800343      210.0884257030      2.35337334
       550   -31407.6867698840   -31197.7297129517     1503.9800732450   -31407.6867698840      209.9570569323      5.35247724
       600   -31397.7269719655   -31198.4501287640     1427.4747684748   -31397.7269719655      199.2768432014      5.28105919
       650   -31399.0191196473   -31199.2189515902     1431.2234881714   -31399.0191196397      199.8001680571      2.43167017
       700   -31414.9513805814   -31206.9735763180     1489.8021426833   -31414.9513803517      207.9778042633      3.11866707
       750   -31404.2254421235   -31204.6644267871     1429.5103715385   -31404.2254421235      199.5610153364      3.92204338
       800   -31407.8692224889   -31202.5327617766     1470.8814732603   -31407.8692224889      205.3364607124      2.16784067
       850   -31409.5546372135   -31200.8992934104     1494.6555445245   -31409.5546372135      208.6553438031      4.75504487
       900   -31399.9899823963   -31201.0530006750     1425.0402473343   -31399.9899823963      198.9369817214      5.46748181
       950   -31404.6928682702   -31200.3860627462     1463.5057703037   -31404.6789335834      204.3068055240      2.98819020
      1000   -31409.7103652989   -31195.3556797020     1535.4814953816   -31409.7103652989      214.3546855969      4.06361002
      1050   -31404.2403200122   -31202.6648545901     1443.9404308642   -31404.2403200122      201.5754654221      4.34161229
      1100   -31403.8048018591   -31202.3962946725     1442.7444631609   -31403.8048018591      201.4085071866      4.05962136
      1150   -31404.0855073221   -31201.1946098321     1453.3632321114   -31404.0855073221      202.8908974900      3.80044984
      1200   -31406.3063457404   -31196.2513613501     1504.6815545264   -31406.3063457404      210.0549843903      5.26824103
