ID	Analytic	Finite_differences	Diff	Abs_diff	Norm_diff
1	1.5346171201737895	1.5346190973879459	-1.9772141564011747e-06	1.9772141564011747e-06	1.2884087701154168e-06
2	-0.8849566104016892	-0.8849699874318162	1.3377030127048606e-05	1.3377030127048606e-05	1.5116029384736344e-05
3	-1.0529952785620595	-1.0529916790851246	-3.599476934956769e-06	3.599476934956769e-06	3.4183220079316145e-06
4	-0.39094168839761156	-0.3909391880707602	-2.500326851340162e-06	2.500326851340162e-06	6.395651642035109e-06
5	0.19693336264793218	0.19692936083792745	4.00181000473343e-06	4.00181000473343e-06	2.032063003914512e-05
6	-0.7822761486180915	-0.7822835626694058	7.414051314325043e-06	7.414051314325043e-06	9.477537219333777e-06
7	-1.1670080835872674	-1.1670108365997578	2.753012490419593e-06	2.753012490419593e-06	2.3590346366385956e-06
8	-0.5761450066793099	-0.57614116482263	-3.841856679898115e-06	3.841856679898115e-06	6.668211362346396e-06
9	1.2151111689065333	1.215115094177932	-3.92527139880805e-06	3.92527139880805e-06	3.230380478142065e-06
10	0.6092377605412465	0.6092380523234908	-2.917822443659901e-07	2.917822443659901e-07	4.789300060895288e-07
11	-0.028151229950308818	-0.02813858121974988	-1.2648730558936783e-05	1.2648730558936783e-05	0.0004493136030384359
12	0.5929887363378873	0.592987589008942	1.1473289452945679e-06	1.1473289452945679e-06	1.9348241795959095e-06
13	-1.2259269217202133	-1.2259341978904104	7.276170197023646e-06	7.276170197023646e-06	5.9352397505177285e-06
14	-0.5266083117324811	-0.526604069614578	-4.242117903174858e-06	4.242117903174858e-06	8.05554680521235e-06
15	-1.3165477211726966	-1.3165572596776087	9.538504912143253e-06	9.538504912143253e-06	7.245088619838985e-06
16	0.9622555635306146	0.9622632793266916	-7.715796077056858e-06	7.715796077056858e-06	8.018447873397384e-06
17	0.0792361215049948	0.07923175626523005	4.3652397647558905e-06	4.3652397647558905e-06	5.509153756952527e-05
18	0.9954117772623594	0.9954195397909871	-7.762528627663912e-06	7.762528627663912e-06	7.79830900636205e-06
19	0.26359965773538185	0.2635981572129964	1.500522385455838e-06	1.500522385455838e-06	5.692429187302504e-06
20	0.4473880064181581	0.44738816753131516	-1.611131570378177e-07	1.611131570378177e-07	3.6011952651057616e-07
21	0.32114923523706207	0.32115002597166153	-7.907345994651038e-07	7.907345994651038e-07	2.4622029658000243e-06
22	-2.5786238336273124	-2.5786218743952816	-1.959232030834812e-06	1.959232030834812e-06	7.597975343611049e-07
23	-0.7287124685952376	-0.7287200948038475	7.626208609834428e-06	7.626208609834428e-06	1.0465319228770319e-05
24	2.140659684185967	2.140672100043872	-1.2415857905345717e-05	1.2415857905345717e-05	5.800014825834926e-06
25	1.896121628672779	1.8961271185151674	-5.489842388461952e-06	5.489842388461952e-06	2.8953007578446622e-06
26	0.8675274463466474	0.8675294557232149	-2.0093765675799347e-06	2.0093765675799347e-06	2.3162109464569337e-06
27	-1.7849006523193187	-1.784908310598965	7.65827964621657e-06	7.65827964621657e-06	4.290591544277448e-06
28	0.6825092256184263	0.6825013792539636	7.846364462715805e-06	7.846364462715805e-06	1.149634930664294e-05
29	-0.13894572148288697	-0.1389399673570324	-5.754125854573466e-06	5.754125854573466e-06	4.141276027187468e-05
30	-0.3557189250470954	-0.3557228783854782	3.953338382822746e-06	3.953338382822746e-06	1.1113657734964043e-05
31	1.0809706046264025	1.0809657701269515	4.834499450989682e-06	4.834499450989682e-06	4.472369026778992e-06
32	-2.059355659275536	-2.0593566740902958	1.0148147597810464e-06	1.0148147597810464e-06	4.927826600569082e-07
33	-1.3194610566033562	-1.3194592018663798	-1.8547369764476684e-06	1.8547369764476684e-06	1.4056776948174998e-06
34	-0.48113362545001354	-0.4811247426310672	-8.882818946343018e-06	8.882818946343018e-06	1.846227009811411e-05
35	0.05041144602845791	0.050410895370944786	5.506575131222768e-07	5.506575131222768e-07	1.0923263593974742e-05
36	0.7919017051808838	0.791896306902018	5.398278865809125e-06	5.398278865809125e-06	6.8168547061987535e-06
37	-0.5998589977179662	-0.5998640444957459	5.046777779682543e-06	5.046777779682543e-06	8.413273450730784e-06
38	2.0089694656957344	2.0089718994302785	-2.4337345441161062e-06	2.4337345441161062e-06	1.2114343128023949e-06
39	0.5275365767022258	0.5275408907170487	-4.314014822925927e-06	4.314014822925927e-06	8.177660115804678e-06
40	-1.5170383007696984	-1.517047724902909	9.424133210700347e-06	9.424133210700347e-06	6.2121920098647695e-06
41	-1.1175691304926754	-1.117567071011294	-2.0594813814334145e-06	2.0594813814334145e-06	1.842822359029818e-06
42	2.841849639952104	2.841849990380396	-3.504282921618085e-07	3.504282921618085e-07	1.2330993421865717e-07
43	0.24391562756666818	0.2439169874151048	-1.3598484366328378e-06	1.3598484366328378e-06	5.575077128918923e-06
44	1.1725218840625526	1.172522641455842	-7.573932894189284e-07	7.573932894189284e-07	6.459523696007386e-07
45	-0.14410784317186154	-0.14410447220924993	-3.370962611604078e-06	3.370962611604078e-06	2.339194409830909e-05
46	1.27312267320303	1.2731294559067408	-6.782703710683791e-06	6.782703710683791e-06	5.327612062409736e-06
47	-0.054952753569877166	-0.0549553087001442	2.5551302670345777e-06	2.5551302670345777e-06	4.649685595437013e-05
48	-2.6977417967802424	-2.6977451613667824	3.3645865400444563e-06	3.3645865400444563e-06	1.2471862741127018e-06
49	-0.790678614669905	-0.7906750408270824	-3.5738428225684515e-06	3.5738428225684515e-06	4.519968994052623e-06
50	-2.0789690582927585	-2.0789689888882634	-6.940449504000412e-08	6.940449504000412e-08	3.338409235248495e-08
51	-0.5489034695262446	-0.5489113535244172	7.88399817264196e-06	7.88399817264196e-06	1.4363177881616585e-05
52	1.6040708483291715	1.604072490600572	-1.6422714006480987e-06	1.6422714006480987e-06	1.0238147537926506e-06
53	-0.13933710624340756	-0.13933858794779042	1.48170438285522e-06	1.48170438285522e-06	1.0633954032796083e-05
54	0.45616901834682333	0.45617442562040367	-5.407273580337879e-06	5.407273580337879e-06	1.1853662486624097e-05
55	-0.8133922334108501	-0.8133976592130665	5.42580221640776e-06	5.42580221640776e-06	6.670585227566526e-06
56	2.2183061647279767	2.218308215757858	-2.051029881489086e-06	2.051029881489086e-06	9.245927880025509e-07
57	0.09273445101280878	0.0927354172954864	-9.662826776224431e-07	9.662826776224431e-07	1.0419888909343703e-05
58	1.2411465185322696	1.241155784255099	-9.26572282944349e-06	9.26572282944349e-06	7.465454473820516e-06
59	1.3888633789660347	1.3888570587194948	6.320246539903707e-06	6.320246539903707e-06	4.5506610913803e-06
60	0.3449091219740987	0.3449169987010947	-7.876726996036698e-06	7.876726996036698e-06	2.2837108369166907e-05
61	-0.18625177503096527	-0.1862547019264582	2.926895492944004e-06	2.926895492944004e-06	1.571472536279127e-05
62	-2.4633902444261033	-2.4633908284741324	5.840480290508765e-07	5.840480290508765e-07	2.3709115125887914e-07
63	0.27212145096174845	0.2721226271891197	-1.176227371280092e-06	1.176227371280092e-06	4.322435321151627e-06
64	-1.0548947446473753	-1.054901350087789	6.6054404137538825e-06	6.6054404137538825e-06	6.261705679424837e-06
65	1.0745268657942568	1.0745339299571555	-7.064162898640092e-06	7.064162898640092e-06	6.574207796487697e-06
66	-0.6170305749536297	-0.6170378014047628	7.226451133157674e-06	7.226451133157674e-06	1.1711658103329397e-05
67	-0.6710586728785477	-0.6710697258824894	1.105300394166342e-05	1.105300394166342e-05	1.6470994844982595e-05
68	-0.23244261475654404	-0.23244287399748487	2.5924094082530047e-07	2.5924094082530047e-07	1.1152900731942999e-06
69	-1.659895963093209	-1.6599098694598524	1.3906366643334778e-05	1.3906366643334778e-05	8.377854367101612e-06
70	0.3791213468710788	0.3791249740725533	-3.627201474509789e-06	3.627201474509789e-06	9.567389186721866e-06
71	0.09954495582912376	0.09955098546576835	-6.029636644588887e-06	6.029636644588887e-06	6.057199578187771e-05
72	0.9285420985192987	0.9285496688953288	-7.570376030052728e-06	7.570376030052728e-06	8.152970169176865e-06
73	0.2919391652595274	0.2919455250633973	-6.359803869926406e-06	6.359803869926406e-06	2.1784688821291527e-05
74	0.13289402192372884	0.13288828998803126	5.73193569758379e-06	5.73193569758379e-06	4.313162935856881e-05
75	0.7313558702711523	0.731363506201177	-7.635930024618709e-06	7.635930024618709e-06	1.0440785854070831e-05
76	-3.1190641732821778	-3.119059186504458	-4.986777719651059e-06	4.986777719651059e-06	1.5988057451230616e-06
77	-1.8004619044999142	-1.8004704013669937	8.496867079488268e-06	8.496867079488268e-06	4.71927068173559e-06
78	0.8960214869392175	0.896026943850714	-5.456911496559691e-06	5.456911496559691e-06	6.0901569617491394e-06
79	3.3877157774365587	3.3877178717212075	-2.094284648812561e-06	2.094284648812561e-06	6.181996325551489e-07
80	1.1799632583022697	1.1799676209367504	-4.3626344807812245e-06	4.3626344807812245e-06	3.6972629868646757e-06
81	-0.8507025745233283	-0.8507067885208386	4.213997510271739e-06	4.213997510271739e-06	4.95354973227036e-06
82	-0.26865160415438094	-0.26865892273875147	7.3185843705303455e-06	7.3185843705303455e-06	2.724191576509148e-05
83	0.6204986461976447	0.6205043526374965	-5.7064398517603365e-06	5.7064398517603365e-06	9.196538762379007e-06
84	-0.0453189124158892	-0.04531914682281979	2.344069305881824e-07	2.344069305881824e-07	5.1723864958859275e-06
85	-1.1127030019587278	-1.1127043732699349	1.3713112070323774e-06	1.3713112070323774e-06	1.2324144040399037e-06
86	1.6548016384702096	1.6547982162204988	3.422249710727243e-06	3.422249710727243e-06	2.068072469332917e-06
87	1.0255040429637543	1.025516562402018	-1.2519438263636218e-05	1.2519438263636218e-05	1.220808279551435e-05
88	1.1975812705059898	1.197584926872608	-3.656366618143281e-06	3.656366618143281e-06	3.0531260868821285e-06
89	0.19844676309945733	0.19845185637024088	-5.0932707835460445e-06	5.0932707835460445e-06	2.5665678310879805e-05
90	-0.49023790023191005	-0.4902440791827445	6.178950834434538e-06	6.178950834434538e-06	1.260398437475264e-05
91	-0.0848811762698986	-0.08488368254511158	2.5062752129767496e-06	2.5062752129767496e-06	2.9526867123135632e-05
92	-1.8532493275755655	-1.8532508191508867	1.4915753212552119e-06	1.4915753212552119e-06	8.04843309025506e-07
93	-0.5352627509314658	-0.535267384998761	4.634067295228306e-06	4.634067295228306e-06	8.657556101492377e-06
94	-1.2251071018596982	-1.22511695255767	9.850697971769407e-06	9.850697971769407e-06	8.040683101759971e-06
95	-0.9773349529427409	-0.9773391644927187	4.211549977872764e-06	4.211549977872764e-06	4.309218620690737e-06
96	-3.3834455711316007	-3.383455503263022	9.932131421308554e-06	9.932131421308554e-06	2.9355079644407377e-06
97	0.2806505321534781	0.28065447242831	-3.940274831859547e-06	3.940274831859547e-06	1.4039791058385545e-05
98	-0.49437776014059287	-0.4943798326966231	2.072556030241479e-06	2.072556030241479e-06	4.192251750264977e-06
99	0.6300024646457627	0.6300076644443209	-5.199798558175317e-06	5.199798558175317e-06	8.253616215769975e-06
100	0.9444565697062202	0.9444612817670617	-4.712060841516319e-06	4.712060841516319e-06	4.989176837408245e-06
101	1.4717127130833338	1.4717193232129944	-6.610129660522546e-06	6.610129660522546e-06	4.491453801927072e-06
102	2.753443106485838	2.753448724707397	-5.61822155908942e-06	5.61822155908942e-06	2.0404349542779695e-06
103	-0.4478900343117105	-0.44788490178504503	-5.132526665452275e-06	5.132526665452275e-06	1.1459345536320366e-05
104	-0.9734544150989128	-0.9734592364889494	4.821390036546802e-06	4.821390036546802e-06	4.952866782217943e-06
105	2.8537295974854064	2.8537283573051297	1.2401802766959236e-06	1.2401802766959236e-06	4.3458226658500556e-07
106	0.5368247431379003	0.5368240150449566	7.280929437136763e-07	7.280929437136763e-07	1.3562954260598282e-06
107	-0.10468392516399289	-0.10468636392602093	2.4387620280452715e-06	2.4387620280452715e-06	2.3296432802121455e-05
108	0.08532772641265975	0.08533077541095224	-3.0489982924958303e-06	3.0489982924958303e-06	3.5732796602951113e-05
109	-0.5902729019444065	-0.590276209608831	3.3076644244678377e-06	3.3076644244678377e-06	5.603618959251093e-06
110	0.9500619369443428	0.9500680095371195	-6.072592776629193e-06	6.072592776629193e-06	6.391786198866466e-06
111	-2.3921430859639625	-2.3921447280432773	1.6420793147453594e-06	1.6420793147453594e-06	6.864469455779441e-07
112	-1.1436035401123616	-1.1436110294500423	7.489337680688379e-06	7.489337680688379e-06	6.5488934040485175e-06
113	-1.8430452014187204	-1.8430401121225515	-5.089296168936386e-06	5.089296168936386e-06	2.7613517915994677e-06
114	-0.2995227230397634	-0.2995203657523149	-2.3572874485178197e-06	2.3572874485178197e-06	7.870145625662183e-06
